Time,capacity_factor,氣溫(℃),相對溼度(%),降水量(mm),日照時數(hour),日照率(%),全天空日射量(MJ/㎡),日最高紫外線指數(0~15),總雲量(0~10)
2019/1/1,0.0655,16.1716,84.7018,0.8459,1.1387,4.5822,7.1535,4.898,8.7765
2019/1/2,0.0572,16.8846,86.4791,2.7366,1.3788,0.7877,5.2214,3.9151,9.351
2019/1/3,0.0589,17.7476,91.1477,5.7254,0.4465,0.0027,5.5607,3.8953,8.857
2019/1/4,0.0865,18.4927,91.7726,0.0199,3.7569,33.4861,8.004,5.0533,7.2383
2019/1/5,0.046,18.311,92.5902,5.6856,0.2818,0.0634,4.1122,3.039,9.921
2019/1/6,0.0318,16.8082,91.2816,4.7087,1.0595,8.0237,3.2578,2.0349,9.7043
2019/1/7,0.1311,19.9471,84.8946,0.0154,6.2722,57.0903,12.8557,5.9374,7.0916
2019/1/8,0.0379,18.3852,88.6659,0.1217,0.1695,0.2602,3.3519,2.0881,9.7039
2019/1/9,0.1314,18.7212,80.9848,0.1062,7.0545,63.8543,13.8569,5.9077,6.1853
2019/1/10,0.0437,19.1714,91.4475,0.0008,0.6566,3.2632,5.0994,3.1061,9.777
2019/1/11,0.0353,19.0349,93.6377,0.0088,0.2288,0.3518,3.5166,3.1081,9.9192
2019/1/12,0.0021,18.0121,89.4829,0.0092,0.1474,0.0391,2.5362,2.0206,9.8714
2019/1/13,0.0,17.5892,82.734,0.0303,0.1967,0.0687,2.7002,2.0417,9.7842
2019/1/14,0.0,19.3302,73.2245,0.0042,6.503,59.8247,13.9365,5.9352,5.686
2019/1/15,0.0,18.4553,87.6329,0.713,0.2689,0.0202,3.9806,2.9821,9.7766
2019/1/16,0.0,15.2281,90.5498,25.1664,1.4197,0.0,2.5088,2.9424,9.9995
2019/1/17,0.0,14.2979,82.4069,6.5373,0.0417,0.0962,1.2798,1.0387,9.0418
2019/1/18,0.0011,17.4021,60.246,0.0003,10.0605,93.8078,16.3751,5.9949,1.1774
2019/1/19,0.1276,16.8869,83.9483,0.0036,3.7973,27.8904,11.981,5.8891,6.8962
2019/1/20,0.0454,16.7624,85.5449,1.5123,0.8163,0.334,4.4268,3.9608,9.6583
2019/1/21,0.0202,14.0781,83.5304,1.5956,0.1831,0.0,1.9234,1.9951,9.7183
2019/1/22,0.0435,13.5016,68.569,0.164,0.0686,0.3855,3.1891,1.9784,8.2361
2019/1/23,0.1683,15.4871,63.4139,0.0023,9.4393,77.6163,15.3613,5.9,0.7836
2019/1/24,0.1683,16.5958,68.2952,0.0,9.041,83.2661,15.4771,6.0199,0.738
2019/1/25,0.1116,17.1795,78.0378,0.0033,9.2001,81.7307,15.5625,6.1408,1.9178
2019/1/26,0.0525,14.0299,66.1429,0.0001,0.5644,4.1416,4.7764,2.9232,8.0732
2019/1/27,0.1369,15.1455,64.3946,0.0006,7.2568,27.4867,14.6909,5.8908,6.0443
2019/1/28,0.1792,15.7554,76.1175,0.0016,8.3011,75.7197,15.9426,6.956,2.3324
2019/1/29,0.1773,17.9396,75.5956,0.0005,10.0465,92.3463,16.7445,6.9895,1.4993
2019/1/30,0.144,16.5871,86.1245,0.0,5.2352,45.0486,13.396,6.9816,5.0363
2019/1/31,0.1488,17.5371,78.7007,0.0007,5.7245,46.2709,13.9463,7.5501,5.848
2019/2/1,0.0273,14.1026,73.5745,0.0023,0.1104,0.8969,2.1092,1.0281,9.4962
2019/2/2,0.1309,16.1569,82.4279,0.0001,3.4184,27.9552,12.9557,7.0331,8.8594
2019/2/3,0.141,19.5956,81.754,1.9376,4.884,42.964,12.9924,7.9607,7.6553
2019/2/4,0.0294,16.2285,87.6549,0.0883,0.2374,0.0271,3.104,2.0678,9.9983
2019/2/5,0.052,16.5633,85.8556,0.0007,1.1852,0.2649,4.8008,3.3211,7.7889
2019/2/6,0.1731,18.3121,84.681,0.025,7.4652,66.1135,16.1375,7.9968,3.1768
2019/2/7,0.1837,20.8795,79.2429,0.0,8.5134,76.1284,17.8582,7.978,5.047
2019/2/8,0.0388,15.7335,85.8969,0.2537,0.1816,0.0688,3.3764,3.041,9.6765
2019/2/9,0.0165,15.4363,88.1552,0.3475,0.011,0.0167,0.6145,1.0002,9.9921
2019/2/10,0.0499,16.0425,86.1082,0.0955,0.3029,0.4832,4.3171,4.8877,9.9558
2019/2/11,0.0531,15.348,87.7091,1.3425,0.4948,0.858,4.8139,3.1346,9.6831
2019/2/12,0.0697,18.3303,89.4303,0.1208,0.7483,3.1567,6.7593,4.4838,9.8413
2019/2/13,0.0371,17.7439,88.7183,0.0229,0.232,0.0577,3.4795,3.0498,9.017
2019/2/14,0.0249,18.0345,88.9723,0.109,0.0466,0.0563,2.2885,2.0907,9.9841
2019/2/15,0.1659,19.9651,87.4474,0.1779,5.2875,44.1409,15.7083,8.0023,7.1625
2019/2/16,0.0288,17.0128,86.0761,0.1372,0.1237,0.0296,2.3739,2.0906,9.8006
2019/2/17,0.0871,16.1371,82.7706,0.1489,0.7105,2.1952,8.1876,4.9833,9.3256
