Time,capacity_factor,氣溫(℃),相對溼度(%),降水量(mm),日照時數(hour),日照率(%),全天空日射量(MJ/㎡),日最高紫外線指數(0~15),總雲量(0~10)
2021/1/1,0.1024,11.5301,79.7624,0.0,5.1989,18.3311,6.8076,4.184,6.4868
2021/1/2,0.1495,13.455,74.3553,0.0398,7.9335,80.6145,14.8809,5.6047,0.5753
2021/1/3,0.1506,15.3352,71.112,0.0,8.2701,89.2258,15.7469,5.85,1.1075
2021/1/4,0.1486,16.5947,75.3425,0.0,8.0746,89.8654,15.2346,7.033,0.5522
2021/1/5,0.1458,16.4183,80.3635,0.0001,7.5403,82.744,14.3803,6.315,2.5282
2021/1/6,0.0426,14.7978,94.1909,0.1723,2.9151,10.5028,3.8068,2.751,9.0524
2021/1/7,0.0361,12.4469,98.0431,1.5847,1.7151,1.9743,3.3272,2.6835,9.0778
2021/1/8,0.0221,7.3593,96.8682,1.2417,0.4596,0.0,2.087,2.105,10.0
2021/1/9,0.0221,7.9505,88.8477,0.5772,1.1777,8.3563,2.8416,2.9225,8.3197
2021/1/10,0.1182,12.0519,77.8594,0.0027,6.1847,43.5528,11.159,4.5873,4.8668
2021/1/11,0.0424,11.1241,92.8677,1.2306,2.3174,0.0,3.2255,2.0695,9.9968
2021/1/12,0.0554,9.0861,93.2617,2.2555,3.0757,10.953,4.9617,4.0974,7.1155
2021/1/13,0.1608,12.4966,66.1157,0.0,8.3149,85.7563,16.2788,6.1409,0.8591
2021/1/14,0.1586,13.6682,61.4752,0.0,8.7555,84.5733,17.2825,6.6762,0.1412
2021/1/15,0.1576,14.9711,59.453,0.0,8.7231,85.9767,16.6459,6.7352,0.3509
2021/1/16,0.1458,16.1688,62.8781,0.0002,8.5876,87.9933,15.9712,6.8001,1.4369
2021/1/17,0.143,13.8103,77.7572,0.0,8.2938,85.1941,15.1948,7.138,1.5933
2021/1/18,0.1501,13.4398,74.3128,0.0,8.5834,89.7727,15.1362,6.4036,0.7204
2021/1/19,0.1478,15.4427,70.3133,0.0,8.5896,90.4995,15.6455,6.7144,0.7113
2021/1/20,0.154,17.6254,69.4243,0.0001,8.6791,92.3713,16.5391,7.1389,0.9402
2021/1/21,0.1469,21.6104,58.8337,0.0002,6.7918,50.0383,13.8418,7.7378,5.4043
2021/1/22,0.0562,20.7256,69.6433,0.3609,4.3857,2.8643,5.2877,4.196,8.4886
2021/1/23,0.1594,19.6168,79.9489,0.0016,8.2818,79.3464,15.9811,6.502,2.5792
2021/1/24,0.1486,18.3109,74.1275,0.0002,8.521,81.3433,15.88,6.8721,2.8831
2021/1/25,0.1421,18.6331,69.1064,0.0,7.2627,64.5806,14.9473,7.4191,5.2438
2021/1/26,0.1517,17.7851,70.8838,0.0,8.7598,88.3155,16.5704,7.9494,1.7157
2021/1/27,0.1428,16.9517,80.7177,0.0002,8.0821,70.387,15.4751,8.0583,3.3114
2021/1/28,0.1485,15.8525,80.321,0.0,7.6159,61.217,14.4287,6.8147,3.7916
2021/1/29,0.1024,14.7544,77.4919,0.0,6.506,28.1091,10.3791,7.5971,6.1994
2021/1/30,0.1616,15.7004,72.5765,0.0001,7.8655,71.2141,15.356,7.9577,3.5569
2021/1/31,0.1571,15.9214,68.4307,0.0,8.043,60.8235,14.813,6.756,2.7332
2021/2/1,0.1656,17.0075,57.1175,0.0,9.0853,90.0762,17.9208,7.5792,0.2314
2021/2/2,0.1668,18.0031,57.3807,0.0002,9.0195,94.1755,18.0329,8.1303,0.0688
2021/2/3,0.1629,17.6115,65.5924,0.0,9.0575,87.4777,17.7252,7.7711,0.878
2021/2/4,0.1667,17.6008,67.9618,0.0,9.0717,70.2271,17.9144,6.6395,0.5557
2021/2/5,0.1567,18.0155,70.43,0.0,8.586,73.5582,16.3377,7.1678,1.9688
2021/2/6,0.1686,18.3951,63.012,0.0059,8.8308,92.5552,18.6022,7.8594,0.767
2021/2/7,0.1647,18.9581,64.5843,0.0,8.9639,90.2246,18.0789,8.1122,0.6591
2021/2/8,0.1579,18.7503,70.4148,0.0027,8.2617,68.7775,16.9133,7.2692,3.1996
2021/2/9,0.1612,18.5676,74.9449,0.0002,8.5836,78.4777,16.622,6.4277,4.5077
2021/2/10,0.096,17.5298,84.0356,3.2796,6.9976,14.59,11.0002,4.8095,6.9121
2021/2/11,0.0793,16.6813,95.669,18.8116,5.0132,10.36,7.2754,4.2993,9.1996
2021/2/12,0.1918,16.854,85.8452,0.0348,7.8646,63.0942,16.681,6.3571,2.973
2021/2/13,0.1841,19.5883,73.4012,0.0001,7.881,53.2828,14.6568,7.6124,5.8014
