Time,capacity_factor,氣溫(℃),相對溼度(%),降水量(mm),日照時數(hour),日照率(%),全天空日射量(MJ/㎡),日最高紫外線指數(0~15),總雲量(0~10)
2021/6/1,0.1397,27.6747,88.0285,0.0783,6.8223,14.9862,16.0143,9.9,8.4222
2021/6/2,0.1914,29.473,82.2416,0.0048,9.0006,49.5385,21.58,11.648,7.4825
2021/6/3,0.2267,29.8703,81.183,0.0104,10.25,69.9105,25.7283,12.5924,5.6419
2021/6/4,0.1811,29.6991,84.0828,0.5057,8.0314,34.9262,17.1378,10.1936,8.6293
2021/6/5,0.0587,26.6934,93.8511,47.3385,3.3193,1.6811,7.9078,7.2705,9.9669
2021/6/6,0.0268,25.3983,94.0444,66.5763,2.0978,0.7661,4.5403,3.5963,9.8718
2021/6/7,0.1193,27.3673,84.7297,0.4243,6.4363,14.4028,14.0832,8.6599,8.776
2021/6/8,0.2199,28.2491,82.6585,0.0437,8.5802,45.3302,23.5209,10.1997,7.6074
2021/6/9,0.222,29.0211,80.4373,0.231,9.4269,58.5506,24.5136,11.7619,6.9407
2021/6/10,0.2043,29.3288,78.3073,0.0,9.6351,65.1259,24.3681,11.6534,6.4281
2021/6/11,0.2362,29.7184,74.238,0.0003,9.7992,66.1434,23.6445,11.5705,6.166
2021/6/12,0.2103,28.8453,83.2198,13.5199,8.8487,53.5051,23.1528,10.1213,6.6426
2021/6/13,0.2347,29.2083,83.1754,0.0011,10.2801,67.0951,25.5845,12.4821,4.0288
2021/6/14,0.2296,29.4955,79.5526,0.0,10.1459,65.549,24.4638,12.1388,4.5289
2021/6/15,0.2109,29.7933,80.7987,0.1343,9.9953,66.042,22.5567,11.5742,6.3791
2021/6/16,0.1331,28.9039,86.1511,8.4305,6.2261,23.9312,14.0304,9.429,5.9441
2021/6/17,0.2228,29.7965,78.768,0.0011,10.0208,64.5003,24.2498,12.2995,4.7937
2021/6/18,0.2179,30.1048,78.5963,1.0354,10.382,59.501,23.9589,10.4004,4.4923
2021/6/19,0.1605,29.6563,82.4435,0.9063,7.8937,30.1115,15.8236,8.7425,6.8767
