Time,capacity_factor,氣溫(℃),相對溼度(%),降水量(mm),日照時數(hour),日照率(%),全天空日射量(MJ/㎡),日最高紫外線指數(0~15),總雲量(0~10)
2021/1/1,0.19,13.5355,66.7013,0.0,8.404,60.7754,15.7745,5.3792,5.5645
2021/1/2,0.1946,14.6992,77.2603,0.0,9.0568,86.3859,16.5471,5.8437,1.382
2021/1/3,0.1999,16.6677,81.7458,0.0,9.0956,84.5624,16.9424,5.85,1.7019
2021/1/4,0.1866,17.7576,86.1611,0.0,8.3163,63.5423,15.1334,5.9844,4.3208
2021/1/5,0.1801,17.8189,82.4077,0.0,7.9745,52.1525,15.0137,5.9839,5.2235
2021/1/6,0.1055,16.953,78.8637,0.0,5.3519,3.7691,8.4084,4.2067,9.266
2021/1/7,0.0574,14.4822,81.0249,0.6342,5.4292,4.552,7.8035,2.6123,9.4681
2021/1/8,0.0027,10.0508,66.5342,0.0,4.4684,0.5226,4.4553,2.0,9.6225
2021/1/9,0.123,10.731,56.4373,0.0,6.7651,23.3661,10.5417,3.9272,7.6765
2021/1/10,0.1837,12.8812,65.0443,0.0,8.3787,77.7716,15.7889,5.4409,4.829
2021/1/11,0.1295,13.7798,73.3597,0.0029,6.085,5.9296,9.2065,4.152,9.3335
2021/1/12,0.195,12.2336,62.8094,0.0035,7.5664,32.3643,14.0876,4.8447,6.0819
2021/1/13,0.2096,13.0975,66.8502,0.0,9.3969,93.8913,17.6695,6.2113,0.5743
2021/1/14,0.2043,14.1178,75.5361,0.0,8.7815,84.5733,17.4857,6.1121,0.9189
2021/1/15,0.1937,15.1081,82.726,0.0,8.8914,85.9767,16.6244,6.0228,0.1036
2021/1/16,0.1911,16.0115,82.9117,0.0016,8.9075,76.8637,16.4819,5.6992,1.9848
2021/1/17,0.1581,15.075,71.0188,0.0,7.711,41.419,14.0803,5.6877,4.294
2021/1/18,0.1836,14.3366,71.3721,0.0,8.9117,81.7158,16.1569,5.8742,1.7552
2021/1/19,0.1886,15.5294,77.7034,0.0,9.1063,87.7562,16.6425,6.044,1.4441
2021/1/20,0.1799,16.6761,90.1027,0.0,8.4837,68.2351,16.2545,6.6815,4.6091
2021/1/21,0.1463,18.3985,89.2911,0.0,6.4067,30.5594,13.2425,6.4409,8.1729
2021/1/22,0.0692,18.3126,93.3847,0.001,4.4662,0.0256,6.1635,3.9916,8.8974
2021/1/23,0.0965,18.0154,94.4805,0.1406,5.4903,22.3324,8.5999,4.6296,5.8007
2021/1/24,0.1116,17.3756,85.1531,0.0,7.2645,36.9194,11.0877,5.9331,7.0993
2021/1/25,0.1988,17.5867,82.4739,0.0,9.189,86.3478,17.7774,7.4542,2.0898
2021/1/26,0.1257,16.5246,91.2342,0.0,7.6567,59.4901,12.6069,6.612,2.8154
2021/1/27,0.1536,17.5459,85.0152,0.0,7.4515,45.5358,13.9551,6.6093,4.3789
2021/1/28,0.182,16.6042,78.8196,0.0,8.2038,65.2032,15.9904,6.8437,3.6805
2021/1/29,0.1596,15.5775,66.0429,0.0,8.0975,65.97,15.5175,7.361,3.1215
2021/1/30,0.1965,15.6591,79.5137,0.0,9.1527,79.043,16.4522,7.3518,2.279
2021/1/31,0.1859,16.1294,87.3654,0.0,8.886,78.3992,16.523,7.5912,1.0368
2021/2/1,0.2018,16.7885,74.3841,0.0,9.1637,87.6897,18.2497,7.5264,0.0566
2021/2/2,0.1987,17.3351,75.1807,0.0,9.3345,85.8629,18.2964,6.6874,0.8626
2021/2/3,0.1944,16.8856,80.6671,0.0,9.3817,84.1815,17.8021,6.7853,1.2724
2021/2/4,0.179,16.7334,87.8882,0.0,9.0394,70.2271,16.8206,6.6195,1.5036
2021/2/5,0.1871,17.3433,88.2396,0.0,9.1126,81.6788,17.7829,7.2101,1.458
2021/2/6,0.206,18.6734,81.0888,0.0155,9.3301,92.8781,18.8444,7.3194,0.8218
2021/2/7,0.1878,17.6046,87.9072,0.0,8.0443,58.3344,17.3906,7.2774,2.6131
2021/2/8,0.1638,18.9032,84.9504,0.0,7.7384,50.469,15.4866,6.6844,4.7812
2021/2/9,0.1869,18.5728,78.9713,0.0,8.8364,65.4937,16.7428,6.1405,3.62
2021/2/10,0.1178,18.4246,87.638,0.2421,6.4451,14.59,11.1016,4.8095,8.9403
2021/2/11,0.1123,17.5275,92.5016,14.0746,5.4956,14.4743,10.0562,6.1047,9.6535
2021/2/12,0.1569,17.7879,89.0669,0.0008,5.9295,10.4215,11.7205,5.7544,9.3312
2021/2/13,0.2019,19.1779,87.6389,0.0,8.4981,49.5635,18.1762,7.6716,6.8102
2021/2/14,0.1528,18.2283,89.1109,0.0,7.535,40.1624,13.9992,8.2965,5.7769
2021/2/15,0.2304,18.0969,86.8691,0.0013,9.4413,79.9104,20.131,7.8165,2.4115
2021/2/16,0.2038,19.0447,83.9612,0.0,9.1043,75.4495,19.2057,7.5393,4.5811
2021/2/17,0.2018,17.9042,72.3983,0.0,9.0572,68.4339,18.0833,6.9989,4.4489
2021/2/18,0.2134,16.1746,57.4076,0.0,9.2638,72.9957,19.68,6.9145,2.3967
2021/2/19,0.2216,15.1124,69.4671,0.0022,9.8326,91.2731,19.4789,7.4713,0.6
2021/2/20,0.2242,16.3563,76.5665,0.0016,9.9228,83.1833,20.133,8.1266,3.0518
2021/2/21,0.2243,18.0226,73.6423,0.0008,9.6707,88.8067,21.0099,7.899,1.9667
2021/2/22,0.225,19.9159,69.2763,0.002,10.148,94.7231,21.3918,8.6091,0.0642
2021/2/23,0.1684,19.9755,77.5075,0.0005,7.5935,31.7919,15.7999,7.2204,7.1453
2021/2/24,0.1842,19.846,84.9068,0.0,7.5616,38.8385,15.7181,7.2195,7.4952
2021/2/25,0.2154,20.4646,84.7097,0.259,8.3109,73.7691,19.5577,8.6844,4.2199
2021/2/26,0.2013,20.7231,85.7195,0.0,9.675,76.4665,19.335,7.5682,3.2425
2021/2/27,0.192,19.2702,83.0848,0.0,8.4122,53.1228,17.8921,6.5311,5.3996
2021/2/28,0.2065,19.2963,83.4387,0.0,9.6076,82.2024,19.6442,7.6091,1.908
2021/3/1,0.2019,21.8513,80.5944,0.0,8.7336,57.7553,18.1222,8.3747,3.8276
2021/3/2,0.0,19.6515,78.2673,0.0,8.8181,57.1431,17.6009,6.3758,5.2499
2021/3/3,0.0,17.8635,79.9658,0.9442,7.0189,27.6715,14.1985,7.1397,8.3912
2021/3/4,0.0,19.2871,83.4565,0.0,7.08,28.9032,13.6171,6.6985,6.778
2021/3/5,0.0,20.6711,84.0793,0.0,7.9856,41.7808,15.8919,6.6613,5.6419
2021/3/6,0.0,21.0707,83.6169,0.0,9.0613,60.2579,19.5973,9.6091,5.8111
2021/3/7,0.0,19.2333,84.1362,0.0003,7.9469,33.1523,14.4175,6.3667,7.6845
2021/3/8,0.0,18.8925,82.1445,0.0,8.9033,55.8294,18.6287,7.1399,6.118
2021/3/9,0.0,18.8302,85.4336,0.0,8.3414,53.93,18.8517,8.1404,5.3663
2021/3/10,0.0,19.636,82.3843,0.0,8.8358,56.0449,19.0491,7.1518,4.5991
2021/3/11,0.0,19.1517,86.071,0.0,9.6812,74.0438,19.8776,8.2264,2.4049
2021/3/12,0.0,20.6608,83.7179,0.0,10.0409,87.0242,21.3704,8.1906,0.8446
2021/3/13,0.0,19.861,78.527,0.0,9.9685,83.7764,20.8109,8.1797,1.4948
2021/3/14,0.0,19.6974,79.7463,0.0,10.0076,71.2912,22.1491,8.7262,2.1921
2021/3/15,0.0,20.3006,80.2182,0.0,10.135,81.5738,22.6542,9.715,2.5002
2021/3/16,0.0,22.1266,76.7599,0.0,10.3779,91.2345,23.5234,10.5955,0.2194
2021/3/17,0.0892,23.2432,78.0007,0.0,9.9416,78.9172,21.4462,9.2182,2.1241
2021/3/18,0.2062,21.2391,87.1955,0.0,8.816,64.2883,20.4694,8.25,4.2847
2021/3/19,0.2124,22.1586,84.3343,0.0,9.3022,68.3016,20.4948,9.6067,4.0132
2021/3/20,0.2047,23.558,81.7908,0.0,9.8393,78.6126,20.4144,9.2897,1.5519
2021/3/21,0.1753,20.1931,77.8212,0.0,8.2699,45.4994,16.5851,7.9839,6.2431
