Time,capacity_factor,氣溫(℃),相對溼度(%),降水量(mm),日照時數(hour),日照率(%),全天空日射量(MJ/㎡),日最高紫外線指數(0~15),總雲量(0~10)
2021/6/1,0.1337,25.7911,86.7067,9.9239,7.7071,19.0275,16.4344,9.9,8.6998
2021/6/2,0.1941,27.7364,79.1664,3.4059,9.8014,47.9845,22.3285,11.8279,7.2652
2021/6/3,0.2155,29.2248,73.4665,0.1346,10.435,65.4235,24.7508,12.6344,6.407
2021/6/4,0.1088,27.2221,84.1998,42.2355,7.1088,25.1737,10.5506,9.6699,9.1076
2021/6/5,0.0386,24.3589,92.1739,30.0499,3.3213,0.3377,3.8395,2.9742,9.9385
2021/6/6,0.0337,22.9315,93.6644,15.5371,1.9295,0.0,3.5946,2.5278,9.7898
2021/6/7,0.149,25.4044,87.8404,37.1338,7.3627,36.2497,16.5708,10.4663,8.4198
2021/6/8,0.2382,27.8183,76.9598,0.0273,11.0162,63.8074,23.9766,10.3164,7.6074
2021/6/9,0.106,27.9243,76.081,0.9836,8.1648,39.6189,17.864,11.7619,6.9407
2021/6/10,0.2253,28.6484,70.3025,0.0038,10.9416,70.2655,25.7402,11.6025,6.4679
2021/6/11,0.204,28.8671,67.1032,0.0035,9.8856,66.1572,21.5152,12.4025,6.1655
2021/6/12,0.2327,28.9473,73.0429,4.2352,10.932,72.6,25.6796,11.6547,6.7761
2021/6/13,0.2077,28.9112,73.0664,0.1367,11.1179,57.5595,22.5824,12.2193,7.4549
2021/6/14,0.2191,29.8969,65.8635,0.0,10.6537,64.1377,24.5814,12.1416,5.4738
2021/6/15,0.2247,30.181,66.4387,0.0,10.1663,67.3404,22.397,11.5761,5.5187
2021/6/16,0.2481,30.7296,60.8497,0.0,11.5382,81.724,27.5134,12.5304,4.3567
2021/6/17,0.0691,31.0248,62.9695,0.0,10.6792,70.93,27.3688,12.0896,4.6855
2021/6/18,0.2505,31.2081,62.0033,0.0,10.8944,82.0991,27.3572,12.5769,5.3173
2021/6/19,0.2492,31.3564,59.6209,0.0,11.6256,82.7321,27.4357,12.0895,5.0552
