Time,capacity_factor,氣溫(℃),相對溼度(%),降水量(mm),日照時數(hour),日照率(%),全天空日射量(MJ/㎡),日最高紫外線指數(0~15),總雲量(0~10)
2021/6/1,0.1418,25.49,88.8466,1.027,8.655,17.4543,14.8411,9.9,8.8466
2021/6/2,0.2078,27.2533,81.3491,0.3643,10.164,50.6822,23.5898,12.2916,7.0487
2021/6/3,0.2131,28.3546,77.1648,0.0,10.7891,69.3862,25.6686,12.8175,5.8364
2021/6/4,0.085,26.3465,88.558,29.1881,7.6856,24.3927,10.2943,9.9364,8.6978
2021/6/5,0.0336,23.7587,95.5837,22.9428,3.4121,0.7651,4.0456,3.6435,9.9449
2021/6/6,0.0272,22.1486,97.3971,25.1656,1.6804,0.0,3.296,2.0544,9.8672
2021/6/7,0.1307,24.509,91.4933,56.1518,7.9251,40.0501,15.7904,10.9865,8.5836
2021/6/8,0.1314,26.6712,81.7032,0.5263,11.5329,65.2426,25.6696,10.6901,7.6074
2021/6/9,0.1556,26.3328,83.3787,17.6545,9.2116,43.0248,19.8135,11.7619,6.9407
2021/6/10,0.2292,27.5718,75.7696,0.0002,11.6816,69.9584,27.9429,12.2835,6.3279
2021/6/11,0.2234,27.9802,72.1802,0.0002,11.0058,66.4002,26.4308,12.6069,6.1614
2021/6/12,0.227,27.9154,77.898,2.6328,11.1135,71.1161,27.2341,12.2632,6.5574
2021/6/13,0.2037,27.7966,79.1977,0.0002,11.8032,63.9858,23.4643,12.664,7.2798
2021/6/14,0.2208,28.5532,72.7183,0.0,11.4007,63.5234,24.6783,12.181,5.3035
2021/6/15,0.25,29.1125,71.6646,0.0,11.0094,67.2591,28.8279,11.5872,5.8401
2021/6/16,0.0698,29.77,64.6985,0.0,12.0307,83.1717,30.7117,13.0071,4.284
2021/6/17,0.2527,29.9542,67.0679,0.0,11.3121,70.8177,30.1194,12.379,4.475
2021/6/18,0.246,30.1545,66.0866,0.0,11.2309,80.2842,28.98,12.7402,5.2118
2021/6/19,0.252,30.1867,64.5898,0.0001,11.6901,81.8515,30.0344,12.5322,4.9354
2021/6/20,0.1995,29.6385,68.0391,0.0001,11.5312,53.8086,23.7133,10.6947,7.1765
2021/6/21,0.1754,28.9204,71.4411,0.0007,9.3397,24.9021,19.8403,8.9602,8.372
2021/6/22,0.0975,25.9063,88.4344,11.2157,5.5793,1.5263,9.8224,4.317,9.8779
2021/6/23,0.0591,23.7591,93.9298,13.5571,5.2223,0.1443,6.4223,4.4497,9.9641
2021/6/24,0.0621,23.9804,93.1699,12.9897,4.0831,4.5043,6.6362,5.7984,9.7066
2021/6/25,0.067,24.9157,91.4887,2.4063,5.7774,9.303,8.5073,7.4852,9.6145
2021/6/26,0.2143,27.0524,78.542,0.1583,10.324,61.0254,25.0058,10.1,7.2879
2021/6/27,0.2465,29.0193,68.5553,0.0002,11.4634,76.5256,29.1994,12.426,6.2919
2021/6/28,0.1569,28.4521,68.4566,0.002,9.0826,25.1262,17.5125,11.0126,8.3001
2021/6/29,0.1738,28.7234,68.9925,0.058,9.8811,27.891,20.1217,9.0062,7.7246
2021/6/30,0.2428,28.8166,73.0173,0.0,11.0724,57.2027,28.645,11.381,6.6305
2021/7/1,0.2148,28.5313,72.188,0.0,10.5899,66.8961,26.4338,13.0136,6.6967
2021/7/2,0.2349,28.6563,76.0504,0.0,11.3022,75.1845,27.3055,12.2591,4.9749
2021/7/3,0.2386,28.7681,76.0116,0.0,11.6022,76.633,28.6264,12.7619,4.7169
2021/7/4,0.1311,28.1254,79.8235,0.0,10.1527,44.9273,16.3571,11.3218,7.836
2021/7/5,0.2027,28.8358,72.2346,0.0,11.7256,79.4745,26.4697,13.1642,3.5592
2021/7/6,0.0549,28.041,81.5727,0.0046,9.4406,31.7506,17.7669,12.7143,8.329
2021/7/7,0.0543,28.3474,78.0221,0.0202,9.9747,47.6721,19.9044,12.4725,5.6795
2021/7/8,0.2198,28.8117,75.6701,0.0001,11.3094,74.9614,27.3954,12.2861,3.5612
2021/7/9,0.2507,29.3449,71.084,0.0,11.3772,84.8984,30.4148,12.5966,2.2481
2021/7/10,0.1905,28.8548,75.9288,0.0011,11.1709,58.8914,24.0791,11.7164,6.4941
2021/7/11,0.1619,28.2944,78.201,0.0125,10.4723,55.9603,17.8064,11.5315,6.5584
2021/7/12,0.165,27.7899,83.8419,3.1016,9.4484,56.5364,20.4016,12.0202,6.7277
2021/7/13,0.1701,27.4579,82.4844,8.9553,10.1969,41.1372,20.4564,11.5714,5.7277
2021/7/14,0.1862,27.6723,77.0774,0.0116,10.6469,66.8967,19.6971,11.8571,3.7981
2021/7/15,0.1899,28.4588,76.6136,0.0001,11.3299,71.0835,22.1416,10.903,4.1227
2021/7/16,0.1207,27.0718,83.1855,8.3246,9.5626,51.6876,17.7784,11.0179,6.8077
2021/7/17,0.2052,28.0661,77.1312,0.0112,10.5022,68.9933,23.0779,11.1848,6.4023
2021/7/18,0.1489,28.0949,73.2587,0.0,10.054,56.0201,16.6177,9.7181,6.364
2021/7/19,0.2356,29.0822,69.2153,0.0,10.5611,43.4867,26.9777,10.3444,7.1815
2021/7/20,0.2238,28.4398,72.7605,0.0,11.1933,40.9169,25.6336,10.8624,7.4403
2021/7/21,0.1518,26.5486,84.7657,45.5218,10.5779,48.3212,19.9982,11.0,7.3835
2021/7/22,0.0947,25.7122,95.9943,80.028,7.3835,17.6972,12.4164,9.4286,9.1906
2021/7/23,0.0934,26.1608,92.6124,19.6014,8.0287,23.0428,12.1814,9.1849,8.88
2021/7/24,0.084,25.866,87.9764,64.8176,6.6612,9.001,8.3501,5.4381,9.0897
2021/7/25,0.2435,30.2008,67.3372,0.0165,11.1952,77.4827,28.4474,12.5777,6.2861
2021/7/26,0.247,29.5472,72.9051,0.0,11.4996,83.061,29.4251,11.8265,3.2116
2021/7/27,0.2179,30.1329,72.2121,0.004,11.6141,79.5343,29.0845,11.8508,3.6536
2021/7/28,0.2108,28.9049,78.2144,0.6504,11.4667,70.6759,25.1435,10.5978,4.0254
2021/7/29,0.1637,27.8247,83.5203,40.1809,8.7714,63.2466,19.9229,10.6263,6.5253
2021/7/30,0.1461,26.8806,88.3805,22.2712,8.3151,56.6295,18.0145,11.748,7.3815
2021/7/31,0.134,26.3247,87.4544,6.353,9.9892,19.5701,14.8915,9.1079,9.037
