Time,capacity_factor,氣溫(℃),相對溼度(%),降水量(mm),日照時數(hour),日照率(%),全天空日射量(MJ/㎡),日最高紫外線指數(0~15),總雲量(0~10)
2019/5/1,0.0634,22.7804,84.482,38.3395,4.8292,3.9912,7.3601,3.1311,9.226
2019/5/2,0.0102,19.9805,83.6087,32.8026,0.9066,0.1155,1.6884,1.7985,9.8684
2019/5/3,0.0012,21.8482,75.6498,1.4672,6.6985,31.7955,15.7927,6.6475,7.3388
2019/5/4,0.1334,24.0811,78.9334,0.0459,6.1547,39.6417,19.4749,7.9645,4.5932
2019/5/5,0.0706,23.9197,84.9596,1.475,5.8175,8.4108,11.6892,5.8931,9.2053
2019/5/6,0.0291,20.9073,95.5217,21.2413,2.7557,0.0053,4.5311,2.9872,9.9773
2019/5/7,0.0809,19.765,86.2476,2.7204,3.5877,0.5056,7.8892,4.4714,9.893
2019/5/8,0.0749,21.7531,89.0171,0.4501,3.9682,2.3351,8.7599,6.635,9.8899
2019/5/9,0.0575,22.3017,94.1396,12.7146,4.1691,1.4631,9.017,5.3151,9.7541
2019/5/10,0.129,23.7153,88.872,6.8399,7.9126,32.8745,16.2695,7.5042,7.0792
2019/5/11,0.1867,24.7547,85.0224,0.0072,11.001,77.8539,25.0026,9.994,2.4034
2019/5/12,0.1782,25.9169,87.0787,0.2886,10.3142,65.8619,23.4826,10.495,4.1661
2019/5/13,0.147,26.7739,82.2046,0.0018,10.5615,72.2654,24.6794,9.1353,2.6096
2019/5/14,0.0976,27.5525,82.3218,0.0,10.8811,77.249,24.1902,10.8591,2.7885
2019/5/15,0.0674,28.251,82.8339,0.1503,9.8824,58.4779,21.7361,9.0173,5.4789
2019/5/16,0.0574,28.2523,86.3997,0.3111,5.9685,19.8106,12.3317,8.0796,8.3157
2019/5/17,0.0393,27.6188,88.1612,9.618,4.433,8.0718,9.2647,7.2004,9.5381
2019/5/18,0.0514,27.666,92.2291,11.1175,4.9026,3.7393,9.6308,5.5564,9.7177
2019/5/19,0.0971,28.1943,90.1383,6.2319,7.1671,25.7716,14.2584,9.9967,7.9125
2019/5/20,0.0362,25.4663,90.8467,18.5746,2.0002,5.0621,5.1481,3.5136,9.7282
2019/5/21,0.0453,23.1833,71.9601,0.3314,4.4361,4.5834,8.7176,4.4967,9.5954
2019/5/22,0.0655,24.2309,75.948,0.4755,5.3,11.6361,11.8203,6.2713,8.0339
2019/5/23,0.0298,23.7444,87.3765,4.392,3.8086,5.6832,9.174,4.8075,9.4084
2019/5/24,0.1139,26.4732,83.0882,0.0131,7.1223,34.0674,19.4164,6.71,7.5062
2019/5/25,0.1036,26.7655,84.7402,0.0,7.1854,27.4855,19.4348,7.9403,7.4137
2019/5/26,0.1137,27.4985,81.7591,0.02,7.6947,35.1567,17.9791,7.7139,7.8757
2019/5/27,0.0629,27.4207,88.3661,4.8899,5.2502,8.5768,11.3929,6.6931,8.8981
2019/5/28,0.0361,25.5526,90.6258,23.1863,4.654,15.5799,7.3079,5.7003,8.7925
2019/5/29,0.0902,23.2842,77.2625,0.0,5.3847,4.4222,14.4491,7.6268,9.2669
2019/5/30,0.1665,25.5688,78.4179,0.0,10.5613,65.4793,23.5569,10.2005,4.2623
2019/5/31,0.2319,27.7544,82.6397,0.0604,9.7893,72.317,23.5516,10.9058,4.2105
2019/6/1,0.2177,27.7018,85.249,5.2702,7.03,40.3804,19.1956,8.9992,7.9583
2019/6/2,0.2125,28.4006,81.9776,11.8247,7.7699,41.6545,21.1347,10.65,6.9689
2019/6/3,0.1098,28.4248,78.652,0.121,7.1336,13.7842,12.2722,6.1497,8.3827
2019/6/4,0.1065,26.4053,86.8133,19.0937,4.4303,11.1526,8.0235,5.6261,8.1989
2019/6/5,0.2514,28.1317,81.5658,2.6483,11.108,73.5852,23.6363,11.1071,4.4899
2019/6/6,0.2303,28.871,80.4411,0.0,9.1882,59.4025,22.6858,11.4492,5.7704
2019/6/7,0.233,29.0255,80.6397,0.0,10.0433,63.5014,23.783,10.7453,6.122
2019/6/8,0.1966,28.6227,82.0531,0.0,8.1416,36.5913,17.9699,8.4453,7.8098
2019/6/9,0.1681,29.1527,77.6972,0.0,7.5786,31.752,17.4634,10.2129,7.7963
2019/6/10,0.0726,27.3467,85.9994,16.4084,4.119,6.3039,7.5645,4.575,9.2468
2019/6/11,0.0618,26.2974,93.1609,47.8852,1.6087,1.6144,4.5977,3.0586,9.875
2019/6/12,0.0352,24.5539,98.238,86.8317,0.518,0.1539,3.2242,2.0943,9.9754
2019/6/13,0.1019,26.9973,90.4682,12.7767,4.6716,2.0755,10.7575,6.723,9.8161
2019/6/14,0.1377,25.6265,88.0348,26.1905,4.2463,18.013,11.8033,6.6288,8.6111
