Time,capacity_factor,氣溫(℃),相對溼度(%),降水量(mm),日照時數(hour),日照率(%),全天空日射量(MJ/㎡),日最高紫外線指數(0~15),總雲量(0~10)
2021/6/1,0.1064,26.0608,89.4812,9.6536,6.8309,14.159,14.0901,9.9,9.1299
2021/6/2,0.1883,28.2912,82.0451,0.0085,9.2931,52.0453,22.7574,12.1741,6.9572
2021/6/3,0.0858,29.5865,74.8082,0.0,10.4046,70.7039,25.7528,12.9076,5.2587
2021/6/4,0.1261,29.2277,78.3902,1.6065,7.1097,25.8582,14.5376,9.638,7.7156
2021/6/5,0.0411,25.7502,92.8537,43.6439,3.2444,1.7366,5.4447,5.5695,9.9689
2021/6/6,0.0235,23.8466,96.0464,57.6371,0.5079,0.2639,2.5826,1.7943,9.9432
2021/6/7,0.1406,26.3287,84.8129,1.8734,6.5246,32.2798,15.5161,10.7046,8.791
2021/6/8,0.2172,28.2098,76.2826,0.3289,10.0754,55.7285,24.4386,10.5009,7.6074
2021/6/9,0.1642,27.8484,78.724,3.5513,8.1192,45.3708,19.6915,11.7619,6.9407
2021/6/10,0.0394,29.1124,72.6722,0.0324,9.8264,65.6547,23.6323,12.1583,6.1862
2021/6/11,0.1819,29.361,71.9941,0.0,9.8165,66.256,23.5383,12.1538,6.1542
2021/6/12,0.1885,28.6847,77.8755,2.4765,9.4531,60.5276,22.3947,12.1441,6.5241
2021/6/13,0.1814,29.2216,75.8521,0.0,10.349,64.1871,24.5437,12.6406,6.1288
2021/6/14,0.1789,30.4316,66.3787,0.0,10.0834,62.7241,24.3906,12.1598,5.0476
2021/6/15,0.2089,31.2178,65.5236,0.0,9.9998,66.8058,23.7982,11.5847,6.048
2021/6/16,0.1967,31.4384,60.0114,0.0027,11.1513,66.4877,25.8663,11.7702,4.7516
2021/6/17,0.2126,31.5655,63.2361,0.0,10.0902,68.0198,28.4257,12.4168,4.0276
2021/6/18,0.1829,31.7111,62.4543,0.0,10.4358,67.2232,25.7922,12.1793,4.7265
2021/6/19,0.2146,31.2374,63.2508,0.0027,10.473,63.3093,25.3356,11.4945,4.7255
2021/6/20,0.1862,31.2618,63.624,0.0026,9.5034,39.0956,22.5347,8.6971,6.7468
2021/6/21,0.0788,28.7255,75.3909,13.4629,5.3498,16.2572,10.776,8.0858,8.5716
2021/6/22,0.077,26.709,86.855,36.9828,3.4541,2.5722,8.2927,5.1996,9.725
2021/6/23,0.0743,25.7279,91.2899,21.0739,4.2551,0.4084,7.1592,5.1608,9.9507
2021/6/24,0.0582,25.2446,92.4538,23.5604,3.7571,5.6641,7.0787,4.8818,8.9804
