Time,capacity_factor,氣溫(℃),相對溼度(%),降水量(mm),日照時數(hour),日照率(%),全天空日射量(MJ/㎡),日最高紫外線指數(0~15),總雲量(0~10)
2021/6/1,0.1861,25.2566,91.1638,3.6583,4.8809,26.853,19.263,9.9,9.0518
2021/6/2,0.1857,27.2473,88.6787,0.6169,5.9573,43.2836,20.4679,9.7634,8.1031
2021/6/3,0.2197,28.7002,81.5101,0.0,7.1778,52.8487,24.285,12.7842,7.3327
2021/6/4,0.0967,26.9867,92.512,37.9648,2.579,18.5275,10.8306,7.0595,9.5282
2021/6/5,0.0469,24.1652,96.8905,41.143,0.6809,0.0,4.2954,1.3964,9.9855
2021/6/6,0.0397,22.8944,97.8631,17.3378,0.0071,0.0,4.5443,4.3485,9.9209
2021/6/7,0.1911,25.8574,89.5217,0.2043,4.5823,28.5962,18.59,8.6928,8.3766
2021/6/8,0.2294,27.4619,85.77,0.0,9.1466,66.9706,24.3634,9.9268,7.6074
2021/6/9,0.1826,27.8212,81.8422,1.0358,5.6593,41.5207,18.985,11.7619,6.9407
2021/6/10,0.2291,28.157,81.2895,0.0017,8.5536,62.1788,23.6402,9.7442,7.3247
2021/6/11,0.2186,28.3233,80.8687,0.0001,8.6508,61.3321,22.8546,11.9121,6.3244
2021/6/12,0.196,28.1757,85.8262,1.6216,8.9288,65.3589,24.1969,10.9697,6.6021
2021/6/13,0.1893,28.0051,85.7827,0.062,6.1933,45.0771,20.2908,9.9654,7.7295
2021/6/14,0.182,29.0701,75.4866,0.0,6.328,41.1128,21.2055,11.0843,6.3756
2021/6/15,0.2022,29.4502,76.2478,0.0,8.7594,56.8609,21.4823,10.8466,6.671
2021/6/16,0.2146,30.3056,69.6154,0.0,8.3189,60.6675,23.2298,9.3444,6.2122
2021/6/17,0.2081,30.1227,73.2841,0.0,8.5669,58.2045,22.089,10.6686,6.3655
2021/6/18,0.2353,30.6566,71.1615,0.0,9.6348,69.0966,25.2404,12.7865,4.8015
2021/6/19,0.2281,30.7947,69.654,0.0,9.5693,70.4356,25.644,11.1614,4.6967
2021/6/20,0.1708,30.2833,74.0059,0.0002,4.7632,34.4983,19.1153,10.2044,7.8288
2021/6/21,0.1188,29.1203,79.9155,0.6956,2.7954,14.9289,12.5331,7.9554,8.7284
2021/6/22,0.0387,25.8685,94.8991,53.4245,0.9863,0.0063,3.9094,1.7352,9.9852
2021/6/23,0.0389,24.8666,93.7602,12.1359,0.7509,0.0,7.211,3.3057,9.971
2021/6/24,0.1085,25.7395,90.9518,4.348,0.9235,6.5222,11.6418,6.8942,9.6233
2021/6/25,0.0921,25.8295,91.2356,8.3045,1.9025,3.8598,8.3428,4.7795,9.8841
2021/6/26,0.2079,27.6471,84.188,0.1206,6.3177,42.9518,19.6372,10.1,8.4641
2021/6/27,0.2241,29.3409,75.277,0.0,9.5513,69.0878,24.082,9.7713,6.4209
2021/6/28,0.1358,28.612,73.7833,0.0683,1.8897,3.9258,12.5089,6.979,9.0914
2021/6/29,0.1621,28.9944,72.8785,0.0054,2.2258,8.7316,14.7773,7.8547,8.7944
2021/6/30,0.107,28.6604,77.0032,0.0,6.442,48.4306,19.179,11.381,7.9597
2021/7/1,0.2115,28.5548,76.1841,0.0,6.2406,45.5521,22.6699,13.1906,7.0808
2021/7/2,0.2515,28.1759,81.5284,0.062,7.5672,55.1932,23.213,9.5476,5.8385
2021/7/3,0.2216,28.5797,81.5343,0.2032,7.527,55.0705,22.7844,12.7619,5.7066
2021/7/4,0.1326,28.3584,84.1559,0.0,4.3512,24.4559,14.9723,8.4222,6.8226
2021/7/5,0.2455,29.7194,71.6407,0.065,8.5134,62.4788,22.9117,10.6697,4.5415
2021/7/6,0.1613,29.3304,77.2162,0.2833,4.8746,36.0305,17.523,12.7143,7.7874
2021/7/7,0.1542,28.3809,85.7315,1.0941,3.988,29.2978,16.1494,9.6127,8.3485
2021/7/8,0.2333,28.8449,83.586,0.0,9.24,64.1488,24.1695,8.7595,4.796
2021/7/9,0.2531,29.1112,78.7817,0.0,11.1641,82.3043,27.522,11.8644,1.7787
2021/7/10,0.2016,28.891,82.2374,0.0,6.6693,41.4247,20.4305,10.7509,7.2464
2021/7/11,0.2081,28.5796,80.9209,0.0627,8.5423,56.1616,21.4262,9.3907,7.0803
2021/7/12,0.1621,28.6322,84.3349,0.0,6.6057,46.2997,21.1859,9.013,6.961
2021/7/13,0.1969,28.6886,80.8551,0.0226,5.9034,43.1359,20.3086,11.5714,6.9524
2021/7/14,0.206,29.4604,72.7006,0.0,7.5641,55.0111,22.6105,11.8571,3.9072
2021/7/15,0.2524,30.7133,64.093,0.0,10.9184,80.8935,26.5887,12.3964,2.9858
2021/7/16,0.2422,30.1695,67.5722,0.001,9.6787,72.047,24.8733,10.0636,6.6136
2021/7/17,0.2406,30.0805,65.1124,0.0,10.3992,68.9933,24.6054,9.8121,6.6583
2021/7/18,0.2184,30.1,64.787,0.0,10.6356,78.4351,26.8475,11.495,5.7339
2021/7/19,0.2268,30.7111,66.7261,0.0599,8.7647,43.4867,24.9056,8.7045,7.1815
2021/7/20,0.2394,29.579,73.3134,0.1584,8.533,40.9387,22.4339,9.3951,8.2154
2021/7/21,0.1602,27.3293,87.7526,36.5463,2.5141,18.0029,13.267,11.0,8.9257
