Time,capacity_factor,氣溫(℃),相對溼度(%),降水量(mm),日照時數(hour),日照率(%),全天空日射量(MJ/㎡),日最高紫外線指數(0~15),總雲量(0~10)
2018/12/1,0.1551,22.9682,81.8442,0.0094,8.5808,81.5667,15.3206,6.4265,1.3975
2018/12/2,0.1684,22.5154,82.5396,0.0025,8.801,89.8495,15.3842,5.6997,0.5186
2018/12/3,0.1744,23.6071,74.0727,0.0,9.3791,89.4587,17.2434,6.0481,0.378
2018/12/4,0.1709,24.1729,73.135,0.0,9.2786,83.6947,15.3147,6.4254,4.8026
2018/12/5,0.1499,25.1197,77.4262,0.0,7.4025,45.084,15.4508,5.86,6.7372
2018/12/6,0.1366,24.9826,85.3261,0.0,7.8262,57.5333,13.8597,5.714,4.5313
2018/12/7,0.1235,23.4971,83.4592,0.0,7.3908,54.9384,13.0105,5.6385,5.8096
2018/12/8,0.1252,21.6175,81.9696,0.1173,7.8451,40.4746,11.8085,5.9716,7.0292
2018/12/9,0.156,21.8472,81.2013,0.0001,8.0986,53.1864,15.0399,6.1431,5.4775
2018/12/10,0.1601,22.1075,84.3592,0.0,7.7179,52.466,14.3888,6.0329,5.914
2018/12/11,0.1575,22.8085,87.1529,0.0,7.7917,60.2159,15.0032,5.7607,4.781
2018/12/12,0.1173,20.3002,80.4411,0.0,6.2397,13.6436,8.3389,4.1215,8.2439
2018/12/13,0.1374,20.0659,78.4886,0.0,7.9849,67.4875,13.6458,5.6628,3.4719
2018/12/14,0.1672,20.8717,81.0224,0.0,8.6567,77.5406,16.3116,6.0222,2.3004
2018/12/15,0.1428,21.2036,83.2177,0.0,7.7275,69.7962,14.1211,5.1,2.7369
2018/12/16,0.1392,21.9829,85.5302,0.0,7.8086,61.4678,14.2429,6.0574,3.4298
2018/12/17,0.1201,19.3389,76.0173,0.0001,8.2787,36.715,11.0658,5.1719,5.0219
2018/12/18,0.1448,19.6404,76.9144,0.0,8.7296,85.8633,15.2068,5.7144,1.4736
