Time,capacity_factor,氣溫(℃),相對溼度(%),降水量(mm),日照時數(hour),日照率(%),全天空日射量(MJ/㎡),日最高紫外線指數(0~15),總雲量(0~10)
2021/1/1,0.0322,14.9848,75.5628,0.0211,0.5965,4.7814,6.1544,3.0643,9.113
2021/1/2,0.0772,17.1706,81.3101,0.5377,1.8944,17.7734,9.6179,4.9817,8.8603
2021/1/3,0.0823,18.8233,83.7169,0.3974,4.858,45.7202,13.576,5.85,8.0518
2021/1/4,0.0965,19.8447,89.8682,0.5102,6.5146,61.6479,15.1951,5.9746,6.6971
2021/1/5,0.063,19.2087,90.0302,0.2488,1.8457,17.1467,10.6058,5.0068,7.6819
2021/1/6,0.0592,18.1092,89.4907,0.9208,1.2639,12.1331,7.8697,3.0459,9.0893
2021/1/7,0.0231,16.223,92.2968,1.933,0.339,0.116,4.3506,2.0647,9.979
2021/1/8,0.0051,13.2826,90.4838,3.3293,0.2074,0.9176,3.3787,2.0644,9.9293
2021/1/9,0.0,12.1506,82.4878,0.8992,0.7227,1.1465,2.1983,1.0935,9.9752
2021/1/10,0.0167,14.1212,72.3276,0.2821,0.4937,4.2101,3.8795,3.287,9.8167
2021/1/11,0.0322,15.6754,87.6302,0.7054,0.7185,6.1697,6.9134,3.9333,9.4322
2021/1/12,0.0,13.6505,90.847,9.8478,0.775,2.4867,2.302,1.2569,9.6748
2021/1/13,0.0797,15.0288,74.6549,0.0008,6.2825,58.267,15.4094,5.9793,6.5463
2021/1/14,0.0849,16.7907,76.6974,0.001,8.5906,84.5733,17.2589,6.7224,3.1764
2021/1/15,0.0965,18.3912,80.5221,0.0027,7.5021,85.9767,16.2002,6.0081,3.7195
2021/1/16,0.0913,18.8363,78.252,0.2147,6.0693,56.5282,15.1239,5.9284,4.4642
2021/1/17,0.0283,16.4856,81.3397,0.2127,0.2432,0.3263,5.2448,3.0448,9.1677
2021/1/18,0.0424,16.231,77.5769,0.0337,0.8522,6.8773,8.2748,4.9753,9.2225
2021/1/19,0.0797,16.9313,80.3843,0.0301,0.7474,7.2562,10.0268,5.0903,8.8787
2021/1/20,0.0257,18.6499,95.8195,11.2687,0.4649,5.1168,4.0868,2.2973,9.7626
2021/1/21,0.045,19.3427,97.4135,26.576,3.8246,6.3197,7.4735,3.3936,9.4507
2021/1/22,0.0373,20.1645,98.1193,11.3423,3.2831,0.0632,5.9273,4.0382,9.9741
2021/1/23,0.0913,20.4304,96.6427,1.9724,3.3565,30.363,13.4496,5.9061,7.7162
2021/1/24,0.0656,18.9251,89.3099,0.7383,0.7915,6.2411,7.9375,4.1666,8.5794
2021/1/25,0.0553,18.3789,79.0183,0.0037,1.4729,11.8773,12.0133,6.0081,8.7183
2021/1/26,0.0952,19.1575,81.7905,0.0616,8.2063,75.8673,17.7324,7.9257,3.7927
2021/1/27,0.0399,18.9701,90.7016,3.0436,1.6941,14.3789,8.3965,5.9235,7.4194
2021/1/28,0.0682,18.2421,93.4308,12.3886,1.5397,13.2631,9.6236,5.0192,7.9107
2021/1/29,0.0412,15.6662,75.6787,1.8119,1.994,18.0884,9.4261,5.0834,8.6557
2021/1/30,0.054,16.9166,72.3179,0.0283,2.1923,17.1879,12.12,6.1926,7.0337
2021/1/31,0.0874,18.3587,71.0461,0.8257,5.8983,50.4447,15.3655,7.2894,5.8982
2021/2/1,0.0952,19.3138,80.1462,0.0,8.5424,75.5923,17.4354,7.9057,3.5527
2021/2/2,0.0952,19.7042,83.9683,0.2101,6.7122,61.1547,16.5419,5.9761,5.9092
2021/2/3,0.0939,19.0475,76.508,0.0272,6.8565,62.334,16.6537,6.9501,5.165
2021/2/4,0.1016,19.4714,76.1729,0.0074,6.5618,70.2271,16.9334,6.6804,3.8826
2021/2/5,0.0887,19.3709,76.9266,0.0605,6.146,55.4568,16.0871,6.8885,4.3347
2021/2/6,0.108,19.7571,79.3847,0.0066,9.6674,91.0711,19.3717,7.7668,1.5843
2021/2/7,0.1029,20.328,79.2026,0.017,9.267,83.0568,19.2291,7.8878,4.2562
2021/2/8,0.0849,20.2423,83.9979,0.9579,3.977,35.3602,14.3816,6.984,6.6088
2021/2/9,0.0206,18.4957,90.3824,3.9017,0.2291,1.3158,1.9787,1.2108,9.8714
2021/2/10,0.0604,19.0261,90.9795,9.1366,0.5325,14.59,4.3971,4.8095,9.9632
2021/2/11,0.1723,20.6385,95.5853,19.2824,4.8514,45.4563,14.9853,7.6253,7.3255
2021/2/12,0.216,20.2648,90.0978,1.1834,5.7277,51.6459,16.7325,7.7503,6.8105
2021/2/13,0.1749,19.2299,93.6434,4.9312,2.8307,24.0727,13.7845,6.9892,7.2246
2021/2/14,0.1929,19.8826,89.4049,0.0396,7.7213,68.4334,19.0689,6.9961,4.1762
2021/2/15,0.0733,19.2475,87.0834,16.5245,0.8401,6.1047,7.9431,6.096,8.888
2021/2/16,0.1145,19.235,82.2545,0.9643,2.0329,16.6144,10.0426,3.4627,8.8818
2021/2/17,0.0836,17.6461,89.2722,4.3959,0.6248,3.7579,4.9361,2.1973,8.9761
2021/2/18,0.027,15.3752,72.658,0.0707,0.5137,2.104,3.512,1.5544,9.4178
2021/2/19,0.1839,16.03,66.3054,0.0039,5.1715,44.8413,16.2032,7.0584,6.7985
2021/2/20,0.2122,17.2886,67.9423,0.0016,8.3819,83.1833,20.4118,8.7374,3.0518
2021/2/21,0.2276,18.8695,72.8683,0.0008,9.8841,88.8067,21.3031,7.9599,1.9667
2021/2/22,0.2135,20.2722,81.0352,0.0024,6.1842,52.4792,20.1316,7.9942,6.1224
2021/2/23,0.1466,18.9973,94.2892,22.7027,0.4048,1.8473,6.5285,3.1104,9.8501
2021/2/24,0.1196,19.7168,90.773,1.7914,0.6295,4.3862,8.9776,4.1133,9.4569
2021/2/25,0.1968,20.5555,92.0654,0.4672,3.7313,13.3839,14.6688,6.0481,9.2685
2021/2/26,0.2058,21.359,96.5585,0.1145,3.1535,27.2246,14.6072,5.9732,8.5667
2021/2/27,0.0823,20.7028,97.3298,1.0878,0.1727,1.3102,5.7405,2.0699,9.9076
2021/2/28,0.1659,20.4526,96.334,0.4525,0.6569,4.7439,7.048,3.1007,9.154
2021/3/1,0.1556,21.4576,94.247,0.0015,2.4227,19.1744,13.6424,7.9366,7.589
2021/3/2,0.072,19.5373,95.9835,4.1346,2.328,18.9924,7.0344,4.0044,8.9463
2021/3/3,0.1402,18.0897,94.8297,7.2581,1.4341,11.856,10.1939,3.9968,9.8765
2021/3/4,0.1903,20.7137,95.4502,4.8263,3.6791,31.2234,11.5153,4.9984,6.8309
2021/3/5,0.0694,20.6257,97.3777,17.8452,0.41,1.2585,5.4098,3.3911,9.8572
