Time,capacity_factor,氣溫(℃),相對溼度(%),降水量(mm),日照時數(hour),日照率(%),全天空日射量(MJ/㎡),日最高紫外線指數(0~15),總雲量(0~10)
2021/1/1,0.055,16.2365,72.6824,0.0,0.6503,5.6722,6.1046,3.1081,9.0635
2021/1/2,0.1027,18.4024,78.5697,0.4893,2.0171,18.708,9.8238,5.0401,8.8038
2021/1/3,0.136,20.0493,80.2597,1.5434,4.9736,46.5398,13.7483,5.85,7.9945
2021/1/4,0.1548,20.9806,86.5715,0.414,6.5985,62.4423,15.3079,6.0057,6.6657
2021/1/5,0.1562,20.4069,86.6842,0.0091,1.918,17.6431,10.7076,5.0344,7.6425
2021/1/6,0.0969,19.2305,86.1886,1.2597,1.3127,12.5232,8.0654,3.0952,9.0561
2021/1/7,0.0579,17.376,89.1755,2.0524,0.2116,0.051,4.3428,2.0631,9.9746
2021/1/8,0.0593,14.3889,88.0339,4.6687,0.2027,1.0868,3.4665,2.1149,9.921
2021/1/9,0.013,13.3544,79.7544,0.9915,0.3774,0.2476,1.7354,1.0635,9.9792
2021/1/10,0.0304,15.2687,69.0958,1.1491,0.463,4.2229,3.8707,3.1676,9.7673
2021/1/11,0.0477,16.7525,83.6083,0.5156,0.8049,6.6639,6.9988,3.9988,9.3843
2021/1/12,0.0159,14.8184,88.2233,11.2502,0.3662,0.624,1.701,1.1054,9.8791
2021/1/13,0.1447,16.1704,71.7018,0.0,6.1056,57.0014,15.2508,5.988,6.6497
2021/1/14,0.1244,17.9932,73.3575,0.0,8.4073,84.5733,17.1292,6.844,3.2628
2021/1/15,0.1577,19.6005,76.9388,0.0,6.7235,85.9767,15.8407,6.005,3.7516
2021/1/16,0.1331,20.0892,74.3947,0.0019,6.138,57.0332,15.2297,5.9728,4.4259
2021/1/17,0.0709,17.7404,77.7576,0.3859,0.2653,0.3048,5.2961,3.0744,9.1554
2021/1/18,0.0767,17.4908,74.2641,0.0,0.9014,6.9612,8.296,5.0146,9.2053
2021/1/19,0.0911,18.1396,76.9579,0.0042,0.8168,6.5154,10.1224,5.0554,8.9278
2021/1/20,0.0477,19.6221,94.7969,22.3869,0.4547,3.2591,3.9251,2.1792,9.8683
2021/1/21,0.0825,20.2252,96.2591,34.2199,2.4037,3.2471,6.7326,3.1958,9.709
2021/1/22,0.0752,21.2214,95.559,12.5992,2.2197,0.0099,5.8606,4.0091,9.9806
2021/1/23,0.1707,21.6506,92.5042,1.2016,3.4461,30.8888,13.6718,5.9496,7.6812
