Time,capacity_factor,氣溫(℃),相對溼度(%),降水量(mm),日照時數(hour),日照率(%),全天空日射量(MJ/㎡),日最高紫外線指數(0~15),總雲量(0~10)
2021/1/1,0.1657,9.1687,54.2059,0.003,9.4446,89.7317,15.2223,4.9928,0.0196
2021/1/2,0.1624,10.9903,49.4424,0.0091,9.0902,85.91,14.9765,5.0007,0.315
2021/1/3,0.1618,14.158,64.252,0.0049,9.5656,90.2386,15.1833,5.85,0.719
2021/1/4,0.1615,15.3513,68.3106,0.0002,9.3757,88.4764,15.2057,4.9944,2.2183
2021/1/5,0.1127,14.6478,73.2648,0.0053,2.2989,21.6887,10.0851,3.9973,8.0001
2021/1/6,0.0876,13.945,62.3811,0.0033,1.6127,15.0847,8.4826,3.0003,8.3007
2021/1/7,0.0775,10.2455,72.2148,0.007,1.4202,13.1388,8.0117,2.996,8.006
2021/1/8,0.1169,8.4223,60.1955,0.0068,3.3726,31.9928,10.9547,4.0002,8.1976
2021/1/9,0.1701,7.2469,50.2199,0.0041,9.4067,80.4869,15.8722,4.9875,0.0099
2021/1/10,0.1512,9.9466,53.1611,0.0998,6.2905,59.2506,14.1851,4.9932,6.2936
2021/1/11,0.0318,10.2508,60.8722,0.0286,0.0152,0.0567,3.2356,2.9935,9.9945
2021/1/12,0.1744,8.7028,45.9216,0.013,9.5784,90.3724,16.8218,4.9757,0.2655
2021/1/13,0.1753,9.8324,62.555,0.0001,9.6796,90.6913,17.2508,5.0504,0.0142
2021/1/14,0.1642,12.6879,73.4339,0.0,9.3988,84.6505,16.5097,5.08,0.5166
2021/1/15,0.1617,13.9062,78.5332,0.0001,9.4762,85.9767,15.9818,5.0596,0.001
2021/1/16,0.1557,14.5398,68.9893,0.0294,8.8779,82.8029,15.1369,5.0131,2.2148
2021/1/17,0.1591,11.6441,48.3814,0.0199,9.2847,86.5336,15.3766,4.998,1.7155
2021/1/18,0.158,11.3518,51.3271,0.0049,9.3926,87.3731,15.4215,4.9973,0.0059
2021/1/19,0.1605,14.0295,57.3397,0.0043,9.4749,87.8261,16.0405,5.0184,0.0424
2021/1/20,0.1524,17.8976,70.1576,0.023,8.557,79.0414,15.4164,5.0036,3.7423
2021/1/21,0.1636,18.5604,78.0123,0.0,8.817,83.8163,16.6074,5.991,3.3895
2021/1/22,0.1593,19.3255,83.1339,0.0553,8.2113,85.8396,16.2177,5.9608,2.0252
2021/1/23,0.1132,17.1866,87.7472,0.0439,5.2857,48.91,11.4575,5.9829,6.5044
2021/1/24,0.1555,15.635,75.054,0.0186,9.1516,84.6055,15.6692,5.9711,4.3172
2021/1/25,0.1514,14.6776,76.7472,0.0005,9.375,86.5828,15.6116,6.0006,2.5286
2021/1/26,0.1491,15.7848,80.6006,0.0092,9.4667,87.1772,15.7036,6.0016,1.2639
2021/1/27,0.152,15.9163,70.2155,0.0486,8.9766,82.5095,15.4527,5.995,4.5139
2021/1/28,0.1429,15.1465,74.8538,0.0281,8.3929,76.9285,14.6486,5.0033,3.208
2021/1/29,0.1705,13.337,54.2099,0.0065,9.5499,87.4218,17.0546,5.9955,1.7081
2021/1/30,0.1705,14.2404,63.998,0.0025,9.5152,87.1991,17.1782,7.0026,1.0827
2021/1/31,0.1688,15.4742,80.5067,0.0005,9.644,88.3148,17.2819,7.0705,0.0212
2021/2/1,0.1726,15.5166,88.2196,0.0,9.5943,88.2212,17.3014,7.1172,0.3145
2021/2/2,0.1549,15.7309,75.8743,0.0125,8.0829,73.5453,16.0447,5.9914,2.0174
2021/2/3,0.1763,16.3155,59.2351,0.002,9.5663,86.7308,17.448,6.0319,1.2407
2021/2/4,0.1684,17.6184,68.8571,0.0006,9.3439,70.8442,16.8571,6.1791,0.7715
2021/2/5,0.1734,17.2565,77.6124,0.0045,9.665,87.3324,17.6366,6.0094,0.5678
2021/2/6,0.1705,16.0374,92.1391,0.0043,9.5485,86.6348,17.3399,6.0524,0.0705
2021/2/7,0.1655,17.2053,88.5098,0.0023,8.6766,78.1189,16.7091,6.0125,2.0305
2021/2/8,0.1726,18.1978,70.2093,0.04,9.5754,86.1806,17.1938,5.9925,4.2122
2021/2/9,0.1044,15.9128,62.4434,0.0331,0.7065,6.3377,10.8699,3.9983,8.9978
2021/2/10,0.0303,15.3635,84.0214,35.1085,0.1024,14.59,3.1132,4.8095,9.995
2021/2/11,0.0936,16.5651,83.7133,4.3419,0.1829,0.97,8.0872,4.0112,9.1998
2021/2/12,0.1746,18.0059,77.0711,0.4862,4.6019,40.9816,15.42,5.9948,7.0059
2021/2/13,0.0953,17.3417,81.8488,0.2824,0.4147,3.7054,8.8904,5.0039,8.7953
2021/2/14,0.2012,16.6068,88.31,0.0059,9.2865,82.6633,18.9915,7.0004,1.7035
2021/2/15,0.2172,17.723,74.9344,0.0194,10.0825,89.5323,20.0238,6.9975,0.3336
2021/2/16,0.1906,16.8605,75.6909,0.0056,8.158,72.4811,17.5013,6.0126,2.0093
2021/2/17,0.1769,15.3403,73.8712,0.1437,6.7049,59.3254,15.7454,6.978,4.7952
2021/2/18,0.222,13.9252,55.987,0.003,9.975,88.2192,20.1784,6.9774,0.3214
2021/2/19,0.2162,13.9394,63.7207,0.0015,9.9648,87.8041,19.8175,6.0618,0.0396
2021/2/20,0.207,15.0524,76.3784,0.0016,9.9766,83.1833,19.4898,6.0755,3.0426
2021/2/21,0.2407,16.2242,81.7332,0.0008,10.0587,88.8067,20.3789,7.0495,1.9667
2021/2/22,0.1811,17.6233,85.176,0.0012,10.0877,88.3718,19.496,6.9987,0.0074
2021/2/23,0.2072,18.3144,73.1424,0.0223,10.0575,87.7289,19.4883,5.9951,0.5515
2021/2/24,0.1319,18.9161,68.1198,0.0097,2.7148,23.555,12.554,4.9951,7.6916
2021/2/25,0.1173,18.2051,90.4892,0.1534,2.3084,15.8292,11.3405,5.9933,8.4779
2021/2/26,0.1441,17.4517,92.7847,0.0173,3.8983,33.8836,13.497,5.005,7.5008
2021/2/27,0.1543,16.9026,77.1336,0.0613,4.582,39.5497,14.2473,5.9977,7.0045
2021/2/28,0.1487,16.6399,76.0018,0.0015,3.5989,31.0822,14.0802,5.0019,6.7012
2021/3/1,0.1508,17.827,84.3637,0.0002,4.517,38.7723,14.3066,5.9983,6.301
2021/3/2,0.059,15.3443,75.912,0.043,0.0137,0.1792,5.8429,3.0016,9.995
2021/3/3,0.0662,14.7444,64.2547,0.0164,0.0367,0.0842,6.0793,2.0134,9.9942
2021/3/4,0.0407,14.992,90.5499,1.4854,0.134,1.004,3.8755,2.0488,8.7946
2021/3/5,0.0831,16.9469,92.6651,4.5097,0.1716,1.0529,7.6247,5.0105,9.2971
2021/3/6,0.0492,15.9646,97.6957,6.4964,0.0261,0.3374,4.5058,3.0087,9.9653
2021/3/7,0.125,16.141,83.6881,0.0046,0.4139,3.5203,11.0609,4.9963,9.9929
2021/3/8,0.2143,16.5262,74.0447,0.0117,9.1762,77.9884,19.5898,6.9916,2.0241
2021/3/9,0.1925,17.1404,74.0281,0.0195,7.9858,67.7661,17.9545,6.0052,2.8119
2021/3/10,0.2162,17.8024,65.4006,0.0221,9.565,80.9193,19.6747,6.9829,4.2183
2021/3/11,0.1676,17.7484,76.9562,0.0025,5.6936,48.1406,16.6019,7.9874,4.7063
2021/3/12,0.2054,18.3615,81.7262,0.0172,9.7795,82.4186,20.2933,8.0566,4.5042
2021/3/13,0.2002,18.1826,68.1572,0.0146,8.3634,70.341,19.1122,7.9785,5.5066
2021/3/14,0.222,18.4009,69.1241,0.0022,10.1656,84.3142,21.5163,8.0086,2.0363
2021/3/15,0.224,18.7631,78.6293,0.0,10.8602,90.7193,22.0963,9.0173,0.0718
2021/3/16,0.216,18.9647,90.8637,0.0018,10.5849,88.5679,21.358,8.0133,1.0029
2021/3/17,0.1925,19.4237,85.8714,0.0061,6.3925,53.2863,19.119,8.98,5.0103
2021/3/18,0.1883,19.3274,84.927,0.0307,6.9829,58.1306,18.8645,8.25,5.5099
2021/3/19,0.1721,18.5888,92.6688,0.0015,4.9275,40.8925,16.9523,7.0148,7.7072
2021/3/20,0.1433,18.0295,98.3988,0.0116,1.028,8.4005,13.675,7.0179,9.9744
2021/3/21,0.0359,15.4474,80.8724,0.2533,0.0099,0.0627,3.8879,3.0025,9.9952
2021/3/22,0.0523,13.7549,61.9024,0.4823,0.0108,0.0563,4.8631,2.0122,9.9974
2021/3/23,0.1121,14.3507,67.083,3.0007,0.9664,7.4054,10.1215,5.9967,9.2011
2021/3/24,0.2207,15.4747,89.593,3.9444,8.1833,68.2729,21.8817,8.9477,4.2994
2021/3/25,0.2517,17.8222,72.8233,0.0043,10.8811,89.4139,24.5311,8.9998,0.3126
2021/3/26,0.2199,18.1614,77.7991,0.0023,8.1793,67.0351,21.7847,8.9895,3.2198
2021/3/27,0.2155,18.3489,93.0637,0.0009,10.2684,83.8395,20.9189,8.025,1.8352
2021/3/28,0.2087,20.0977,94.1202,0.0002,8.8819,72.3261,19.9583,7.004,4.2015
2021/3/29,0.082,19.3995,89.6184,0.0002,0.0478,0.2748,8.363,4.0306,9.2966
2021/3/30,0.1258,20.3691,98.5044,0.0173,0.931,0.3485,11.2822,4.0099,5.7999
2021/3/31,0.1692,20.2974,95.7123,0.0033,3.7996,30.7844,16.447,7.9867,8.3956
2021/4/1,0.0804,20.7409,99.7144,0.0038,0.8723,0.2215,7.2358,3.0355,7.4594
2021/4/2,0.1809,22.2934,96.6047,0.0315,4.1108,33.1776,17.5696,6.9972,9.9796
2021/4/3,0.0814,21.3589,94.7179,0.0512,0.046,0.1073,8.5606,3.2067,9.6914
2021/4/4,0.1065,20.0046,81.9422,0.0174,0.1093,0.8463,9.9737,3.9938,9.9945
2021/4/5,0.1956,18.793,64.0829,0.0015,7.0935,56.9198,18.883,7.001,7.1964
2021/4/6,0.1971,19.2917,45.5606,0.0,5.9872,47.9825,19.526,8.9826,4.2144
2021/4/7,0.1823,19.8029,38.8133,0.0009,4.3696,33.6305,17.7413,7.9934,7.7727
2021/4/8,0.0936,17.7365,63.0852,0.0275,0.0242,0.0528,8.716,4.9948,9.2987
2021/4/9,0.2108,17.6053,54.3638,0.1888,6.6591,53.3158,20.1789,7.0013,5.8034
2021/4/10,0.2147,18.8017,44.3577,0.0,6.9751,55.2918,21.5205,7.9944,5.0129
2021/4/11,0.2085,19.4884,76.7449,0.0346,7.3758,58.4658,20.7639,7.9908,5.8059
2021/4/12,0.1983,20.4349,92.2836,0.0035,7.7141,61.0448,20.2423,10.1905,3.7048
2021/4/13,0.2286,21.1908,89.57,0.0246,9.7631,77.2387,22.6531,8.0016,4.7121
2021/4/14,0.1495,19.1025,70.1918,0.0687,1.9061,15.0137,14.7471,5.9942,9.6946
2021/4/15,0.1034,18.2266,76.9539,0.5156,0.5163,3.9989,10.3435,7.8571,9.4955
2021/4/16,0.1983,19.8564,81.7719,1.4286,4.8953,38.3623,20.3767,10.8122,7.7
2021/4/17,0.1562,21.3338,67.062,1.0,4.5225,35.3559,15.2455,8.9996,7.188
2021/4/18,0.228,20.4934,56.3549,0.0,8.1234,63.8125,22.1848,9.9171,4.8085
2021/4/19,0.1503,20.0128,51.5515,0.1165,2.7446,11.1724,14.2881,9.4286,9.2887
2021/4/20,0.18,22.3891,58.3489,0.0003,4.0867,23.6604,17.8145,11.9875,6.8786
2021/4/21,0.2585,23.9618,61.2908,0.0098,11.2831,86.8129,26.0332,11.9897,0.3443
2021/4/22,0.2431,23.84,71.9736,0.3411,10.1621,78.8946,24.816,10.867,4.2365
2021/4/23,0.2313,24.1301,78.8914,0.0236,9.4429,73.528,23.8846,10.988,4.008
2021/4/24,0.229,24.065,68.297,0.0476,7.885,61.0148,23.1597,10.9506,3.5144
2021/4/25,0.0604,21.2433,84.7823,2.0368,0.5479,0.02,5.6521,3.4286,9.9791
2021/4/26,0.2168,23.0777,64.3874,0.0135,6.7475,50.967,20.9498,8.524,4.5696
2021/4/27,0.0604,20.2741,92.4737,3.0352,0.8075,0.094,5.5619,4.0698,8.7074
2021/4/28,0.0305,19.8724,99.8598,28.307,0.1047,0.1245,2.7081,2.0087,9.9959
2021/4/29,0.1225,20.1364,96.6463,14.1411,2.4893,18.4381,12.4096,8.0005,8.9923
2021/4/30,0.2438,21.9064,93.0113,0.0001,10.9927,84.3251,24.8984,11.0078,3.066
2021/5/1,0.2162,22.6158,95.0307,0.0,8.0983,60.389,21.1766,9.0148,6.8965
2021/5/2,0.2249,22.625,85.6983,0.0007,7.5001,55.9738,22.6127,11.9564,8.0627
2021/5/3,0.066,21.6612,89.7882,2.5981,1.1832,0.1731,6.0142,6.0012,9.974
2021/5/4,0.1069,22.5194,98.6143,1.5191,1.6472,4.7041,10.7052,6.0963,9.693
2021/5/5,0.1333,22.1572,78.9071,1.3124,1.4068,10.7463,11.5909,6.9999,8.3986
