Time,capacity_factor,氣溫(℃),相對溼度(%),降水量(mm),日照時數(hour),日照率(%),全天空日射量(MJ/㎡),日最高紫外線指數(0~15),總雲量(0~10)
2021/1/1,0.1511,8.9922,54.7924,0.0159,8.413,80.1232,13.7468,4.7586,1.0968
2021/1/2,0.138,11.0375,49.6234,0.0094,8.6101,81.2101,14.696,5.0218,0.8999
2021/1/3,0.1476,14.0072,64.1186,0.0037,8.8751,82.3136,14.8013,5.85,1.4314
2021/1/4,0.1363,15.1762,67.8705,0.0,8.1784,78.2951,13.7616,4.6995,3.0376
2021/1/5,0.1179,14.6194,72.7551,0.0,2.334,20.2982,9.4657,3.8293,8.1646
2021/1/6,0.0777,13.7016,63.8164,0.0,1.744,13.2067,7.9744,2.9641,8.4706
2021/1/7,0.062,9.956,72.9278,0.0124,1.6694,11.5725,7.0759,2.8478,8.2609
2021/1/8,0.1127,7.9319,61.4757,0.0003,2.9729,29.457,10.0988,3.7892,8.2216
2021/1/9,0.1555,6.9995,50.8158,0.031,7.0561,77.1426,13.706,4.9093,0.473
2021/1/10,0.1389,9.474,54.2752,0.051,6.3677,59.9812,14.2851,4.9122,6.1003
2021/1/11,0.028,9.9249,58.1661,0.0163,0.2182,0.5608,3.0871,2.7961,9.9371
2021/1/12,0.1625,9.0263,43.5327,0.0313,8.0251,83.7289,14.7669,4.6689,1.16
2021/1/13,0.1633,10.0566,59.6385,0.0216,9.4262,89.6302,16.915,5.5748,0.1363
2021/1/14,0.1485,11.4571,72.1889,0.0084,8.7718,84.5733,17.4187,5.8187,0.8223
2021/1/15,0.1529,13.5743,74.6859,0.0076,8.8701,85.9767,16.5954,5.6649,0.0156
2021/1/16,0.1371,14.1236,67.4558,0.0541,8.2417,76.3905,14.5643,5.1733,2.7273
2021/1/17,0.1494,11.3073,50.5663,0.0733,8.5127,78.9814,14.749,4.9009,2.397
2021/1/18,0.1494,11.0488,54.0358,0.0148,9.1685,85.5208,15.2141,4.9912,0.4946
2021/1/19,0.1502,13.7402,58.7322,0.0083,9.2616,82.5338,15.7418,5.2284,0.6127
2021/1/20,0.1415,17.4142,69.3457,0.0205,7.9075,68.3181,14.5901,5.0703,4.4015
2021/1/21,0.1537,18.8763,75.8109,0.0,6.4311,56.501,14.2214,5.8819,5.5316
2021/1/22,0.1537,19.1897,82.0505,0.1838,4.4839,75.236,14.8227,5.4233,3.0324
2021/1/23,0.1162,16.8307,86.5502,0.1109,4.9718,45.5857,11.3982,5.7587,6.6943
2021/1/24,0.1398,15.1817,74.9762,0.083,8.5699,80.8058,14.9883,5.605,4.5531
2021/1/25,0.1389,14.6261,74.0009,0.0045,9.0176,84.4001,15.4089,6.0044,2.974
2021/1/26,0.1441,15.597,76.019,0.0034,8.7617,81.0174,15.3512,5.9945,2.1421
2021/1/27,0.1371,15.2938,71.1633,0.1047,8.2066,74.8938,14.9132,5.9107,5.0011
2021/1/28,0.1031,14.8201,74.1421,0.1157,8.1347,74.4516,14.3643,5.0976,3.3895
2021/1/29,0.0,13.0302,55.5622,0.0408,8.9861,81.9164,15.8306,5.9531,1.7625
2021/1/30,0.0,13.9615,64.416,0.007,8.455,78.5822,16.0037,7.0308,2.1644
2021/1/31,0.0,14.7084,77.5154,0.0,8.9714,86.2612,16.3627,7.5137,0.286
2021/2/1,0.0,15.5938,78.6465,0.0024,9.1406,86.8845,18.0555,7.5188,0.4799
2021/2/2,0.0,14.9565,75.1637,0.0482,7.7309,69.8413,15.6324,5.8029,2.3337
2021/2/3,0.0271,15.8274,62.4586,0.0154,9.1267,80.7877,17.0272,6.3996,1.7656
2021/2/4,0.1633,17.164,67.8117,0.0099,8.6596,70.2271,16.6988,6.6177,1.7027
