Time,capacity_factor,氣溫(℃),相對溼度(%),降水量(mm),日照時數(hour),日照率(%),全天空日射量(MJ/㎡),日最高紫外線指數(0~15),總雲量(0~10)
2021/1/1,0.0773,6.8288,56.5014,0.0071,3.6129,33.7969,7.9012,3.0155,5.849
2021/1/2,0.1187,8.9955,58.3715,0.0003,4.9915,47.0071,12.4496,4.9724,5.8136
2021/1/3,0.0806,11.7096,72.4727,0.0685,2.4326,22.6513,7.8246,5.85,8.236
2021/1/4,0.0392,12.9739,82.1302,0.0081,0.0368,0.3244,4.2034,2.0251,9.7748
2021/1/5,0.0252,11.7624,89.565,0.453,0.0587,0.2108,3.0877,2.0169,9.9835
2021/1/6,0.0398,10.1129,80.2653,0.0055,0.078,0.0186,3.9621,2.0116,9.0187
2021/1/7,0.0056,6.0164,85.9141,0.4624,0.1351,0.0414,1.2831,1.0141,9.9976
2021/1/8,0.1154,5.3239,65.4409,0.0029,4.0952,38.9319,11.0382,3.935,6.8642
2021/1/9,0.1518,5.4771,50.2951,0.0104,9.644,93.3588,16.3807,4.9663,0.4622
2021/1/10,0.1366,7.1846,59.5789,0.2237,7.415,69.4565,14.0867,4.9855,4.7579
2021/1/11,0.0129,7.3529,57.9764,0.7953,0.0256,0.0733,1.7683,1.0154,9.9934
2021/1/12,0.1473,7.4537,51.2167,0.0119,9.7223,92.4847,16.3642,4.9517,0.1521
2021/1/13,0.145,8.8268,71.7167,0.0068,10.0425,94.3184,16.8443,5.1076,0.0155
2021/1/14,0.1422,11.2684,79.8835,0.0039,9.491,84.5742,16.8433,5.1692,0.5297
2021/1/15,0.1378,13.1501,81.786,0.0035,9.6238,85.9767,16.3573,5.1271,0.0045
2021/1/16,0.0526,10.4474,84.4569,0.0001,0.2914,2.1476,5.6868,2.2092,7.9401
2021/1/17,0.1232,8.2777,61.6937,0.0103,5.5135,51.3337,12.5043,3.9623,5.5639
2021/1/18,0.1411,8.7093,69.0231,0.0015,9.5098,88.5237,15.7107,4.9977,0.3041
2021/1/19,0.1137,10.4796,74.8531,0.0001,4.3019,39.5609,10.7092,5.0396,6.237
2021/1/20,0.1086,13.2655,87.2556,0.0108,0.299,2.5326,5.9491,4.0535,9.5899
2021/1/21,0.0902,15.5161,94.7977,0.0105,5.0721,40.6606,10.9377,5.0444,7.9487
2021/1/22,0.0778,14.6386,97.7285,0.0538,3.0366,18.631,9.2815,4.9681,9.1895
2021/1/23,0.0974,13.1123,95.0823,0.0383,4.0728,37.4702,11.0069,5.0221,8.6848
2021/1/24,0.121,11.4226,88.0572,0.0242,3.9424,36.1598,11.9341,4.07,7.1771
2021/1/25,0.1389,12.108,88.937,0.0014,9.3886,86.3495,15.269,5.9834,2.0954
2021/1/26,0.112,12.8887,92.0853,0.0085,5.1344,46.9482,12.7255,5.0177,6.1718
2021/1/27,0.0935,11.6518,87.7567,0.0374,2.2147,20.0396,9.6375,4.0027,9.6743
2021/1/28,0.126,11.8778,88.8829,0.0167,5.5087,50.595,12.9525,5.9234,6.0444
2021/1/29,0.1456,9.3635,76.1799,0.0106,7.1661,65.5069,14.9695,5.0365,2.2593
2021/1/30,0.1619,10.9982,76.6079,0.0006,8.9537,82.1535,16.5796,6.083,2.4026
2021/1/31,0.1327,14.0354,86.8255,0.0,6.078,54.4491,15.0958,6.3964,4.7253
2021/2/1,0.149,15.6827,84.9855,0.0015,8.725,79.2821,16.8658,6.6521,2.2632
2021/2/2,0.0398,11.8256,87.4323,0.0056,0.1383,0.7227,4.0796,2.0482,9.7065
2021/2/3,0.1579,12.2894,78.7255,0.0038,9.5307,86.1961,16.8853,6.0687,0.6226
2021/2/4,0.1506,12.9166,83.4968,0.0027,7.9843,70.2291,16.3101,6.3279,3.294
2021/2/5,0.1546,15.0699,78.4349,0.0011,8.8654,79.8848,16.7934,6.0203,2.8194
2021/2/6,0.1221,14.1416,89.6295,0.006,6.5271,53.8445,15.2547,5.2204,3.7713
2021/2/7,0.0829,14.4375,87.6441,0.0009,1.9475,17.3717,9.2732,4.107,8.047
2021/2/8,0.0605,12.7121,80.9126,0.001,0.4183,3.1881,6.2294,2.0312,9.9338
2021/2/9,0.0274,10.3076,80.9981,0.5284,0.1275,0.5838,3.8504,2.0399,9.9632
