Time,capacity_factor,氣溫(℃),相對溼度(%),降水量(mm),日照時數(hour),日照率(%),全天空日射量(MJ/㎡),日最高紫外線指數(0~15),總雲量(0~10)
2021/6/1,0.1233,28.8352,80.5073,61.2328,7.006,21.2064,14.6481,9.9,7.6675
2021/6/2,0.2535,30.0604,75.4585,0.0,11.5224,81.0133,27.2608,12.0574,3.5587
2021/6/3,0.2488,30.8933,73.1261,0.0,11.4598,80.4658,25.56,13.1379,4.1246
2021/6/4,0.2033,30.3537,75.6489,1.556,8.6834,55.4274,21.4556,11.3245,7.004
2021/6/5,0.043,27.2802,87.1257,61.4337,2.8663,3.1162,5.0544,5.3446,9.2372
2021/6/6,0.002,25.6397,91.8555,206.4382,0.0936,0.0,1.0623,0.4174,9.7193
2021/6/7,0.1076,27.5501,79.516,1.5286,6.0353,6.7176,10.5559,6.193,8.6457
2021/6/8,0.1857,29.4737,74.7092,0.0,8.6655,45.6123,19.0527,8.9549,7.6074
2021/6/9,0.218,29.0662,75.9881,6.6566,10.0971,64.9076,24.2046,11.7619,6.9407
2021/6/10,0.2124,29.9059,72.0849,0.0,10.4658,71.4451,21.6803,10.6772,6.6453
2021/6/11,0.2273,30.5682,71.322,0.0,9.7908,66.3324,23.3038,10.8927,6.2014
2021/6/12,0.2184,30.2235,74.3488,1.3963,9.3681,64.3338,23.3088,12.0178,6.5932
2021/6/13,0.2472,30.2557,75.1997,0.0,11.078,74.4584,27.2603,12.3022,5.1046
2021/6/14,0.2449,30.1635,75.9315,0.0,10.8295,75.2855,25.393,12.1309,3.3686
2021/6/15,0.1515,29.8352,79.1311,3.5744,9.7613,58.5775,18.6815,11.5255,5.1351
2021/6/16,0.0527,28.8955,83.9799,16.304,3.163,9.2837,6.0878,3.7306,7.6134
2021/6/17,0.1702,29.3254,80.4777,10.0342,9.3715,58.1536,15.8317,11.6743,4.0966
2021/6/18,0.1443,29.0973,83.4765,25.9961,9.7075,43.3937,15.6819,9.6505,5.6775
2021/6/19,0.0812,28.719,86.9344,45.6238,3.8147,23.6011,8.9589,7.4946,8.0472
2021/6/20,0.0176,28.1576,89.798,84.3397,1.7168,2.2981,3.6452,2.5834,9.1752
2021/6/21,0.1126,28.8325,86.757,27.6131,4.6577,8.8935,9.2977,7.0252,9.1174
2021/6/22,0.0821,26.5206,89.5077,40.6177,3.4632,2.4864,8.1527,6.6535,9.8522
2021/6/23,0.0784,26.7179,85.5025,37.8346,4.1229,9.1473,9.1564,7.2215,9.3341
2021/6/24,0.1852,26.0456,89.2757,34.6752,7.2409,38.325,20.6653,11.9366,7.4071
2021/6/25,0.1493,26.7141,85.7974,80.4945,6.8247,22.8465,15.1567,10.6079,8.6747
2021/6/26,0.1749,27.1414,85.5386,14.3846,7.2444,25.8538,19.1086,10.1,7.6733
2021/6/27,0.0877,26.4932,89.5297,12.7577,4.0031,6.5496,10.0661,10.3812,8.6655
2021/6/28,0.0402,25.6148,93.7516,117.9446,4.4761,8.0827,5.7485,5.0297,9.6729
2021/6/29,0.0789,26.1498,90.7742,37.3933,4.8553,6.9646,9.055,9.5775,9.5216
2021/6/30,0.2343,28.5707,82.0168,3.2185,10.3353,59.9396,27.1637,11.381,3.4694
2021/7/1,0.2402,29.5086,77.7908,0.0,11.4679,87.6829,27.9147,13.2439,4.0599
2021/7/2,0.2282,29.6389,79.0055,1.9485,10.58,72.3581,24.8335,13.4988,5.48
2021/7/3,0.2311,29.5813,77.7484,0.0,9.7059,71.0844,25.5743,12.7619,5.1804
2021/7/4,0.2151,30.2387,75.4865,0.0,10.3856,74.7934,27.1703,12.7449,4.9593
2021/7/5,0.2035,29.2577,81.5222,7.229,8.7681,55.0021,21.649,12.0164,5.5651
2021/7/6,0.1849,28.9915,80.7893,5.3689,8.1313,53.5043,20.8837,12.7143,5.8333
2021/7/7,0.2537,30.2699,77.1622,0.0,11.2819,85.0878,29.1611,12.9476,2.1219
2021/7/8,0.2029,30.0076,78.8128,0.0,10.1744,73.4276,23.3362,11.7938,3.6296
2021/7/9,0.2212,30.235,75.3804,0.0,11.4685,87.5932,25.5511,12.241,2.3332
2021/7/10,0.237,30.6898,73.4682,0.0,10.3249,77.1315,27.2652,12.3067,5.114
2021/7/11,0.2138,30.6456,73.9661,0.0,9.4828,61.0752,22.9078,11.6865,5.5225
2021/7/12,0.2151,30.803,72.958,0.0,9.8627,67.0774,25.0926,12.008,6.7401
2021/7/13,0.1461,30.203,72.7092,0.0,7.7159,53.5601,21.8578,11.5714,4.9763
2021/7/14,0.1838,29.185,73.0743,5.8713,8.9388,64.3832,20.8166,11.8571,4.846
2021/7/15,0.091,28.0774,81.9121,41.5455,4.759,19.6295,10.4748,6.5002,8.2817
2021/7/16,0.1972,28.8057,76.6011,8.7572,8.7945,50.9873,22.221,11.2046,5.7606
2021/7/17,0.2439,29.5776,74.4898,0.0,10.1699,68.9933,25.0776,11.2391,3.9686
2021/7/18,0.2367,29.9802,72.1868,0.0,10.6694,79.8971,25.8518,11.2427,4.9437
2021/7/19,0.1247,28.9134,78.4825,80.2374,7.5345,43.4867,13.3887,8.3341,7.1815
2021/7/20,0.084,27.4265,88.5963,78.5562,5.2925,40.9169,8.6366,6.4706,8.8865
2021/7/21,0.2219,29.0748,82.2289,62.002,10.1664,67.6955,23.4752,11.0,4.5927
2021/7/22,0.1088,29.1575,81.615,0.0,6.8163,10.4504,11.6596,9.4286,8.7681
2021/7/23,0.1363,28.9171,84.728,12.2742,6.644,33.1418,15.5072,9.3638,7.5191
2021/7/24,0.2196,29.1852,84.2925,0.0,9.65,67.6108,24.025,12.8066,6.1238
2021/7/25,0.1256,29.5096,87.6398,5.94,6.643,28.1949,14.3658,8.7113,6.9962
2021/7/26,0.168,29.9247,85.4108,6.6859,8.5042,56.5784,20.6289,11.1776,5.247
2021/7/27,0.2263,30.1371,82.7991,0.2879,9.8859,69.7987,26.8374,11.8541,5.7026
2021/7/28,0.0566,28.449,88.8186,31.5603,3.9718,5.0997,7.4323,3.5729,8.6892
2021/7/29,0.1006,28.4489,87.9351,52.197,5.6334,26.747,10.6484,7.413,7.296
2021/7/30,0.0262,26.9329,92.0059,48.3445,1.3893,0.9423,3.7069,1.5196,7.3815
2021/7/31,0.0033,25.4177,94.0118,142.983,0.0223,0.0493,1.1581,1.0762,9.037
2021/8/1,0.0521,27.0573,90.762,151.6019,2.3407,3.2334,6.2381,4.9601,9.5076
2021/8/2,0.0157,26.6103,93.2554,97.2797,0.5414,0.0908,2.5335,2.4984,9.8385
2021/8/3,0.1782,27.6445,90.2468,40.7252,6.0111,20.5448,16.2771,9.4969,7.0917
2021/8/4,0.0667,27.7411,89.4926,53.9971,2.7081,7.5383,8.5127,8.3333,9.0352
2021/8/5,0.008,26.9182,92.2528,105.9396,0.1209,0.1016,1.7243,0.2432,9.1593
2021/8/6,0.0097,27.8914,89.2494,58.116,0.1323,0.0,1.9965,1.0829,9.876
2021/8/7,0.0023,27.3499,93.2681,207.2548,0.0924,0.0,1.2972,0.683,9.9643
