Time,capacity_factor,氣溫(℃),相對溼度(%),降水量(mm),日照時數(hour),日照率(%),全天空日射量(MJ/㎡),日最高紫外線指數(0~15),總雲量(0~10)
2021/1/1,0.128,14.2961,63.0761,0.0,8.8007,81.592,15.9503,5.656,3.7684
2021/1/2,0.129,15.6573,76.547,0.0,9.169,87.4885,16.31,6.0369,0.7356
2021/1/3,0.1308,17.7182,77.822,0.0,9.5147,92.7012,16.9878,5.85,0.9481
2021/1/4,0.1232,18.7891,86.4196,0.0,8.4357,78.3995,15.7892,6.6219,3.9389
2021/1/5,0.1255,18.7518,85.5971,0.0,7.934,70.9489,16.0012,6.606,3.6325
2021/1/6,0.0688,18.0434,83.8806,0.0,3.5007,5.4958,7.7862,4.3238,8.6394
2021/1/7,0.0371,15.3074,90.2823,0.0,2.2662,5.427,5.0799,3.0305,9.5024
2021/1/8,0.0455,10.6651,70.3014,0.0,2.2328,0.1121,4.6334,2.3719,9.3855
2021/1/9,0.0832,11.6409,53.2088,0.0,4.3579,15.0628,9.8108,4.3344,7.9078
2021/1/10,0.1288,13.5678,60.6538,0.0,8.6291,80.2538,16.0455,5.4773,3.8649
2021/1/11,0.0686,14.7489,66.3727,0.0002,4.4745,14.0964,9.3175,4.9194,8.4021
2021/1/12,0.085,12.9108,63.0217,0.0001,4.8512,20.0278,10.5853,4.2319,6.81
2021/1/13,0.1331,15.0349,60.9291,0.0,9.5418,90.5038,17.374,6.3086,0.7176
2021/1/14,0.1332,15.8115,65.0206,0.0,8.7759,84.5733,17.4482,6.0905,0.3788
2021/1/15,0.1278,16.703,70.2012,0.0,8.8881,85.9767,16.6031,6.0185,0.0595
2021/1/16,0.1302,17.4318,78.9157,0.0,9.2538,88.0705,16.431,5.9387,0.3851
2021/1/17,0.1028,16.0438,69.991,0.0001,6.1929,36.4797,13.1019,5.6611,4.0985
2021/1/18,0.126,15.1331,71.5381,0.0,9.1035,84.3159,15.9523,5.9979,1.2242
2021/1/19,0.1262,16.8372,76.0466,0.0001,9.276,85.7579,16.4248,6.2301,2.258
2021/1/20,0.1303,18.2972,87.8442,0.0001,9.0435,82.4649,16.8211,6.5533,2.9116
2021/1/21,0.0908,19.8202,92.8322,0.0,6.218,28.1961,12.4029,6.1841,8.2875
2021/1/22,0.0508,20.5176,98.0883,2.4345,4.3809,0.0184,5.7459,3.7628,9.0495
2021/1/23,0.0548,19.2941,98.5859,0.0,5.8556,43.7498,11.4775,4.8854,4.8206
2021/1/24,0.095,18.7133,89.5841,0.0,5.8273,32.6111,13.7312,6.6027,6.2924
2021/1/25,0.1451,19.9615,76.3357,0.0,9.1252,83.6835,17.4198,7.6528,1.982
2021/1/26,0.1418,18.6378,94.3302,0.0,8.4167,75.6885,16.3086,7.0438,1.168
2021/1/27,0.1207,18.2154,90.2096,0.0,7.5006,65.0423,15.0763,6.6616,1.8234
2021/1/28,0.1329,17.5545,76.3374,0.0001,8.3304,74.5477,16.6216,7.0713,2.3993
2021/1/29,0.139,16.5817,64.9103,0.0001,7.6563,65.3147,15.9399,7.8051,3.8456
2021/1/30,0.1465,16.7577,79.6707,0.0001,9.3195,85.474,16.169,7.7665,1.6256
2021/1/31,0.1449,17.5786,77.2402,0.0,8.7824,77.5751,16.4529,7.6,1.6914
2021/2/1,0.1399,18.8674,61.7851,0.0,9.1602,87.7643,18.229,7.5301,0.1452
2021/2/2,0.1511,19.2346,65.0923,0.0,9.6507,89.4815,18.2194,6.6768,0.3576
2021/2/3,0.1736,18.5307,81.4171,0.0,9.6263,85.2958,17.8153,6.926,0.567
2021/2/4,0.1487,18.9069,84.8168,0.0,9.4699,70.2271,18.0375,6.6201,0.7186
2021/2/5,0.1338,18.7532,91.7098,0.0,9.4333,83.1435,18.1531,7.3445,0.9903
2021/2/6,0.1444,19.9363,77.6572,0.0046,9.3273,91.1147,18.8196,7.3978,0.6438
2021/2/7,0.132,19.1908,89.5705,0.0,8.7068,76.5155,18.5106,7.9479,0.5266
2021/2/8,0.1589,19.1752,88.2019,0.0,7.8716,66.5699,17.1289,7.0551,2.6323
2021/2/9,0.1246,18.0688,95.786,0.0,8.4267,70.763,16.7171,7.0006,3.499
2021/2/10,0.124,19.6043,83.5041,0.0045,4.8124,14.59,11.1929,4.8095,7.8767
2021/2/11,0.1311,19.1352,89.3968,14.6035,5.4435,33.5583,14.4544,7.5708,8.4584
2021/2/12,0.1215,18.9763,86.1523,0.0003,4.8876,25.308,13.4978,7.2541,8.2567
2021/2/13,0.1718,20.4697,85.4508,0.0005,7.6875,57.1093,17.5792,8.2454,5.859
2021/2/14,0.1475,19.2068,89.6452,0.0,7.582,57.3787,17.7265,8.6448,4.2037
2021/2/15,0.187,19.9975,82.7088,0.0,8.8939,74.4503,19.5581,7.8585,2.7092
2021/2/16,0.1875,20.8049,77.0738,0.0005,9.1437,78.7769,20.0915,7.8097,4.5057
2021/2/17,0.1519,19.2924,71.2454,0.0,7.7672,53.5421,16.9203,6.6127,5.764
2021/2/18,0.1675,17.4508,61.6981,0.0,7.8845,60.4124,17.2085,6.9181,3.3388
2021/2/19,0.1881,17.2154,69.3981,0.0012,9.9605,86.9586,19.3141,7.6726,0.7686
2021/2/20,0.1972,17.9067,68.3682,0.0016,10.1501,83.1833,20.1851,8.3427,3.0518
2021/2/21,0.1937,19.495,57.2193,0.0008,9.669,88.8067,21.0199,7.7829,1.9667
2021/2/22,0.197,21.0943,59.0575,0.0012,10.3505,93.4215,21.5327,8.6493,0.1777
2021/2/23,0.144,21.4785,73.3253,0.0462,6.1232,31.7979,15.2456,7.6099,7.1663
2021/2/24,0.1394,21.3598,82.282,0.0,6.6103,41.8313,14.7846,7.6569,7.3628
2021/2/25,0.1954,21.6491,80.2142,0.1676,7.7279,83.6036,17.5996,9.0053,3.0159
2021/2/26,0.1866,22.5794,78.2427,0.0,10.0502,88.7134,19.9848,7.5656,1.1678
2021/2/27,0.1737,21.5421,78.5356,0.0,8.5731,69.5374,18.5982,6.9356,3.4931
2021/2/28,0.1861,21.379,78.2792,0.0,9.692,82.638,19.687,7.974,1.4408
2021/3/1,0.1833,23.8034,72.327,0.0,8.3659,63.33,18.9138,8.296,3.2902
2021/3/2,0.1776,22.3812,68.886,0.0,8.5974,65.6689,17.1592,6.5811,4.3878
2021/3/3,0.1569,19.9604,71.8265,0.0,7.0476,48.389,16.0742,7.5777,7.0554
2021/3/4,0.1387,21.2195,75.3621,0.0,5.8111,33.2396,14.7215,6.885,6.1156
2021/3/5,0.1344,23.1548,74.4907,0.0002,7.1772,43.9091,15.1123,7.0744,5.5436
2021/3/6,0.1934,23.8445,77.4884,0.0,9.1389,73.8388,19.9029,9.5425,3.8557
2021/3/7,0.1735,21.789,77.53,0.0,7.2014,48.7764,17.5071,7.8686,5.9346
2021/3/8,0.1812,20.8264,76.4237,0.0,9.3101,76.2134,19.494,8.035,3.5815
2021/3/9,0.1891,20.8362,78.9876,0.0,8.7898,70.1162,20.0946,9.0258,3.4821
2021/3/10,0.1544,21.463,78.2826,0.0,8.1757,61.6835,18.2852,7.9844,3.5032
2021/3/11,0.1868,21.4,79.8788,0.0,9.8463,81.0549,20.6735,8.5405,0.7559
2021/3/12,0.1854,22.7079,75.5749,0.0,10.04,84.0732,20.0789,8.1916,0.7567
2021/3/13,0.1863,22.2174,73.3239,0.0,9.7317,79.6822,20.4478,8.5351,1.5625
2021/3/14,0.1897,21.8473,72.1476,0.0,9.6798,71.716,20.4947,9.1117,1.6238
2021/3/15,0.1923,22.5432,69.0954,0.0,9.8276,77.9341,22.4433,9.9322,3.1809
2021/3/16,0.2036,24.2081,65.7114,0.0,10.529,89.3403,23.1109,10.6199,0.3339
2021/3/17,0.1935,25.5637,65.3817,0.0,10.4051,88.0971,21.716,9.7266,0.8557
2021/3/18,0.1913,23.9056,79.5604,0.0,9.6538,79.7657,21.5121,8.25,2.0318
2021/3/19,0.1852,24.0503,77.5646,0.0,9.6923,78.2267,20.5304,9.354,2.5698
2021/3/20,0.1846,24.8145,74.1374,0.0,9.9586,82.5076,20.5337,9.2935,0.7975
2021/3/21,0.169,22.2822,73.2291,0.0,8.083,58.8716,18.6599,8.6655,5.6165
2021/3/22,0.0467,17.0689,69.7372,0.0,2.4861,0.3279,5.3788,2.4469,9.35
2021/3/23,0.0939,19.5663,70.4916,0.0,4.5582,12.7013,11.3146,6.5754,9.4
2021/3/24,0.0856,20.0452,80.5398,3.0817,4.3655,23.0171,8.3884,5.316,6.1871
2021/3/25,0.2034,20.7043,66.9736,0.0,10.4179,85.0508,22.8513,9.2271,0.8162
2021/3/26,0.1952,22.8951,71.1803,0.0,9.3127,64.5371,20.4234,9.3376,3.66
2021/3/27,0.1797,24.7653,71.9548,0.0,8.9395,66.8706,20.7267,9.5505,2.931
2021/3/28,0.1705,25.892,76.8401,0.0012,9.2544,67.3305,20.0346,9.6869,2.7735
2021/3/29,0.174,25.6662,79.9806,0.0,9.8639,78.2047,20.2164,7.7139,3.8598
2021/3/30,0.1555,26.4779,82.1462,0.0,6.8584,57.4994,18.1134,8.005,3.4872
2021/3/31,0.1772,26.4516,81.8037,0.0,9.8911,77.9081,21.5992,9.6178,2.4011
2021/4/1,0.1706,26.7305,79.7683,0.0038,6.8019,61.1675,20.8474,9.5115,5.2539
2021/4/2,0.1959,26.8272,79.0289,0.0,10.392,83.6022,23.5641,9.6429,1.2657
2021/4/3,0.1807,26.5231,77.9467,0.0,10.0063,79.1708,18.9998,7.2164,0.395
2021/4/4,0.1655,25.7894,74.7546,0.0,8.6466,63.7914,18.8207,7.0454,4.1223
2021/4/5,0.1713,23.637,63.4888,0.0,8.8362,62.5098,18.5108,7.8837,5.3121
2021/4/6,0.1586,23.3866,62.5491,0.0,6.9343,45.5699,16.1016,7.4366,5.3096
2021/4/7,0.1017,22.898,72.2232,0.0,5.2459,7.9204,11.4644,7.2327,6.9032
2021/4/8,0.1544,23.2879,74.1209,0.002,7.4072,51.4733,19.6407,9.3577,4.2683
2021/4/9,0.1,21.7851,69.6347,0.0,4.2709,9.0404,13.3599,7.2365,7.7293
2021/4/10,0.2024,22.3496,71.1419,0.0,10.1587,77.4816,22.667,9.263,2.2057
2021/4/11,0.2071,23.6375,72.9985,0.0,10.5725,83.7034,23.6216,10.2109,0.7315
2021/4/12,0.2058,24.3682,74.9025,0.0,10.5785,81.5123,24.7464,10.1905,0.9915
2021/4/13,0.1941,25.8556,75.002,0.0,10.3751,78.0031,22.8996,10.2956,2.2093
2021/4/14,0.1662,25.5057,72.9535,0.0,8.7019,52.2988,19.7897,9.1513,5.8572
2021/4/15,0.1985,24.2289,72.9193,0.0,10.5535,81.0853,23.8714,7.8571,2.6989
2021/4/16,0.1951,24.7174,76.7712,0.0,10.2599,74.4345,23.1784,9.4333,2.0676
2021/4/17,0.2015,26.2332,68.0313,0.0,9.494,70.247,23.545,10.7397,3.9227
2021/4/18,0.1901,26.1271,67.4283,0.0,8.153,63.5437,22.0097,9.7868,4.3012
2021/4/19,0.1789,24.8723,67.2872,0.0,6.886,44.4526,17.7095,9.4286,6.3556
2021/4/20,0.2026,25.4626,72.0559,0.0,8.5622,68.8298,22.3403,11.497,4.7238
2021/4/21,0.1917,26.5011,69.9519,0.0,9.3608,64.586,22.6125,11.3033,3.8017
2021/4/22,0.1964,25.6995,79.0512,0.0,9.8274,71.0311,23.1615,9.9598,2.6328
2021/4/23,0.1467,26.2976,76.1106,0.0,8.4021,55.7737,20.5647,9.1049,3.4739
2021/4/24,0.1865,26.2585,75.2016,0.0,9.079,61.9026,24.0354,9.9216,4.8907
2021/4/25,0.0687,24.8083,81.202,4.1455,2.6892,2.4374,6.894,3.4286,8.7729
2021/4/26,0.0787,23.6688,86.0592,1.2377,4.7617,13.2932,9.7245,8.5238,8.8222
2021/4/27,0.0804,24.2754,81.3133,2.1191,5.1285,9.1371,10.7487,6.2214,8.7074
2021/4/28,0.207,25.2786,76.1769,0.0,6.5012,34.688,17.8161,10.2281,7.5078
2021/4/29,0.0532,24.0959,84.6437,6.2521,3.0032,0.0588,6.5809,4.9965,8.9923
2021/4/30,0.2245,24.5806,77.8333,0.0003,10.2874,73.6695,25.0825,11.2915,4.4857
2021/5/1,0.1868,25.8053,70.9256,0.0,8.6309,35.0303,21.0392,9.0624,7.2808
2021/5/2,0.1991,26.5057,70.0727,0.0,9.2597,60.0795,22.5758,10.2635,6.7162
2021/5/3,0.0724,25.8042,81.5202,0.4962,5.374,1.2221,8.4107,5.4475,9.1344
2021/5/4,0.2017,27.696,73.2497,0.0,7.8889,55.8501,21.6599,9.4826,4.8428
2021/5/5,0.2232,28.0579,75.0933,0.0,10.6474,78.8542,25.7349,13.173,4.2544
2021/5/6,0.2425,26.8355,71.0642,0.0,10.9814,86.0931,24.5443,11.4417,2.1407
2021/5/7,0.2273,28.2204,72.9495,0.0,10.5762,77.6113,24.9707,11.7143,4.1269
2021/5/8,0.2286,28.5699,78.1093,0.0,10.6,81.913,26.101,13.2709,4.5868
2021/5/9,0.2257,28.2244,76.0103,0.0,10.8122,82.0721,26.5227,12.8632,3.7874
2021/5/10,0.2142,28.5444,73.2646,0.0,9.5044,66.399,24.5749,12.424,4.2719
2021/5/11,0.24,28.7698,77.0509,0.0293,11.5167,87.5336,28.2623,12.6339,2.3123
2021/5/12,0.2357,29.2268,75.0544,0.0643,11.8659,93.076,26.9151,12.2778,1.0158
2021/5/13,0.2188,29.5712,79.8095,0.0,9.7567,65.0457,25.2141,12.0652,3.5023
2021/5/14,0.2388,29.7826,69.2578,0.0,10.097,78.9296,27.5615,12.1241,4.7185
2021/5/15,0.2418,29.8902,70.6821,0.0,11.8206,90.4566,27.6126,13.2702,0.732
2021/5/16,0.2363,29.8631,76.0414,0.0,11.0388,81.3864,27.8144,13.2721,2.8395
2021/5/17,0.2178,29.9167,77.1938,0.0,10.4716,74.6635,25.3473,12.2168,6.1226
2021/5/18,0.2308,29.8611,76.9807,0.0,10.6497,75.4824,27.3371,13.2709,5.2596
2021/5/19,0.2271,30.0353,76.8421,0.0,10.4021,75.4468,27.0959,12.6655,4.1996
2021/5/20,0.2104,30.2713,73.9598,0.0,10.1989,70.932,25.2786,13.2208,5.3648
2021/5/21,0.2292,30.4869,74.9951,0.0,11.6563,87.8951,27.1458,13.2271,3.0142
2021/5/22,0.2069,30.419,75.8864,0.0338,10.0308,70.3912,24.2467,12.2227,6.9564
2021/5/23,0.2287,30.791,73.2952,1.4643,9.8643,75.2112,23.6565,11.7619,5.1519
2021/5/24,0.1905,30.758,73.0245,0.0001,10.4754,75.6702,23.757,12.0338,4.0841
2021/5/25,0.236,30.4782,70.0261,0.0,11.4168,85.0104,25.5774,11.4762,3.4734
2021/5/26,0.2086,30.2559,75.0217,0.0,9.8652,71.3746,24.9517,12.7558,4.1815
2021/5/27,0.2208,30.561,74.1215,0.0,9.8586,83.9422,24.5121,13.2339,5.0648
2021/5/28,0.187,30.2631,78.154,9.5865,9.4709,64.9946,23.8196,12.6399,4.7841
2021/5/29,0.1403,29.3544,80.7941,47.715,7.7278,45.3107,17.2947,10.3112,6.3801
2021/5/30,0.0048,27.0364,93.2999,102.4876,0.8714,0.0901,3.0853,2.174,8.8756
2021/5/31,0.1073,28.5756,88.3875,21.2522,5.4295,30.5855,13.0814,9.5666,7.7502
2021/6/1,0.1369,28.8472,81.3276,6.6408,6.8184,27.0912,15.6996,9.9,8.0259
2021/6/2,0.2468,30.1493,75.5627,0.0,10.1381,77.3649,27.1714,12.4433,4.0785
2021/6/3,0.2478,30.574,76.3063,0.0,10.6199,74.9235,25.591,13.51,5.0071
2021/6/4,0.2024,30.3336,76.5117,0.014,8.9786,59.3823,22.2455,11.2323,7.0221
2021/6/5,0.0431,27.3633,88.7529,75.9529,3.1306,1.8278,5.1283,6.1883,9.2941
2021/6/6,0.0021,25.2881,95.5064,229.3425,0.4292,0.0,2.0607,1.3231,9.7612
2021/6/7,0.1129,27.4223,80.3443,0.9718,6.2949,7.0356,10.9457,6.2886,8.726
2021/6/8,0.2059,28.6333,80.5263,0.0006,9.2142,54.5077,21.7558,10.9233,7.6074
2021/6/9,0.232,28.9034,75.4497,0.0,10.2744,68.4981,24.9504,11.7619,6.9407
2021/6/10,0.2405,29.5145,74.2584,0.0012,9.2428,62.7185,22.1166,11.5332,6.3504
2021/6/11,0.2319,29.9311,74.8688,0.024,9.7986,66.2661,23.6068,12.1914,6.1421
2021/6/12,0.2224,29.9802,77.2604,0.3655,9.0102,66.7005,23.5286,12.0193,6.76
2021/6/13,0.244,30.0081,76.9798,0.0002,10.6269,72.2955,26.0568,12.6157,5.7635
2021/6/14,0.2474,29.9511,75.4704,0.0,10.2104,68.345,24.4936,12.2482,4.1273
2021/6/15,0.1886,29.9169,79.5778,9.8009,9.9901,65.5991,21.3527,11.5817,5.3484
2021/6/16,0.0518,28.7996,87.1219,17.744,3.5796,11.6083,8.3166,5.884,6.8791
2021/6/17,0.1558,29.1404,83.5592,5.8702,9.9067,60.1321,16.3206,11.7867,5.161
2021/6/18,0.1849,29.4472,83.2034,7.727,10.3129,50.5902,19.2633,10.6215,5.5172
2021/6/19,0.1524,29.2319,87.0369,28.7872,6.3078,22.4561,12.0373,10.1359,7.8399
2021/6/20,0.0285,28.5175,91.588,62.0165,2.4002,5.2955,5.7289,3.5667,9.005
2021/6/21,0.0722,28.7277,89.898,18.8775,5.1025,5.0781,7.7918,7.0226,9.1926
2021/6/22,0.0535,26.5508,92.5043,56.8992,3.3804,1.2797,6.7951,5.8,9.4894
2021/6/23,0.0794,26.9202,85.9691,15.9561,3.9476,4.9542,8.1622,5.4609,9.3881
2021/6/24,0.2094,26.2738,91.2351,32.3059,6.2992,33.2831,18.7754,11.8956,8.3221
2021/6/25,0.1201,26.6908,89.1748,60.8281,6.2286,16.2444,13.8677,9.7294,8.491
2021/6/26,0.1779,27.646,85.7044,20.5769,7.1604,24.6056,17.7595,10.1,8.1398
2021/6/27,0.1095,26.8054,92.8765,44.2007,6.3012,11.5057,12.2778,11.2204,8.6846
2021/6/28,0.0524,26.1654,95.8192,108.4699,5.4308,11.5663,8.4837,8.8351,9.5086
2021/6/29,0.0813,26.9395,93.1953,33.3551,5.4959,8.0912,9.5179,9.0625,8.4596
2021/6/30,0.2373,28.9652,84.8406,0.0,9.7439,57.316,25.3871,11.381,3.6072
2021/7/1,0.2541,29.694,80.3101,0.0,11.6747,87.912,26.4038,12.9251,4.1999
2021/7/2,0.2349,29.7333,83.7846,2.0974,10.0478,68.3599,24.1946,12.6038,5.6215
2021/7/3,0.2359,30.0401,77.1078,0.0311,10.4531,75.0935,25.846,12.7619,5.0591
2021/7/4,0.232,30.1765,77.4313,0.0979,9.4125,65.0807,24.7261,12.3303,4.9166
2021/7/5,0.1462,28.966,84.154,102.2814,8.6493,52.686,22.0034,12.844,5.6846
2021/7/6,0.1942,29.2872,80.3661,1.3351,7.8865,53.1466,19.8582,12.7143,5.8949
2021/7/7,0.2487,30.3283,75.0189,0.0,10.1809,80.2024,27.2264,13.1545,2.6733
2021/7/8,0.2131,30.2541,77.4961,0.0,10.2542,66.6596,23.3407,10.8604,3.9586
2021/7/9,0.2396,30.2202,77.045,0.0,10.9849,85.1916,26.1294,12.6777,3.1019
2021/7/10,0.2219,30.4855,76.6557,0.0,9.7326,64.9553,23.7028,11.0231,5.3405
2021/7/11,0.1736,30.0954,78.6325,0.0,9.5009,51.041,19.0091,11.4115,5.8726
2021/7/12,0.2209,30.4243,76.464,0.0,9.2451,61.4414,22.7513,11.792,6.5623
2021/7/13,0.1591,29.4119,76.4969,0.0,7.7904,50.8426,19.6639,11.5714,5.1481
2021/7/14,0.1811,28.6174,78.2349,0.2488,9.5795,65.5723,21.5375,11.8571,5.2146
2021/7/15,0.1367,27.8097,84.9864,4.0812,5.1295,24.2207,11.403,7.0927,6.7041
2021/7/16,0.2141,28.678,78.1237,0.2241,8.8737,55.7676,22.0592,11.5809,5.524
2021/7/17,0.2371,29.2692,77.4082,0.0,10.1542,68.9933,23.9192,11.4891,4.1293
2021/7/18,0.2424,29.4933,74.4058,0.0,10.2181,80.8368,25.5077,11.9306,5.4856
2021/7/19,0.1502,28.8685,82.4209,23.8283,7.725,43.4867,13.5627,9.1693,7.1815
2021/7/20,0.1153,28.3493,86.1357,13.9429,7.3489,40.9169,14.0895,9.5381,8.6625
2021/7/21,0.2219,29.5273,79.5344,0.8757,8.9134,56.8856,21.0852,11.0,4.7385
2021/7/22,0.1284,29.288,78.8149,0.0006,6.9169,11.931,13.0226,9.4286,8.2887
2021/7/23,0.1459,29.4212,80.7111,2.7159,6.436,27.3337,15.5648,9.0135,7.871
2021/7/24,0.2189,29.2185,82.1266,0.0005,10.1388,74.7345,23.0309,12.6901,6.3938
2021/7/25,0.1154,29.3698,87.7838,20.9009,7.661,33.9182,14.8052,10.0602,6.9031
2021/7/26,0.1816,30.17,83.6185,6.1252,9.0581,59.8146,21.4481,11.595,5.8291
2021/7/27,0.2078,30.1594,81.8811,2.9979,9.6065,68.3552,23.9761,11.9337,5.6535
2021/7/28,0.1056,28.8778,86.7177,29.9912,4.6841,12.9992,11.1587,6.7233,8.3139
2021/7/29,0.0677,28.2107,89.7167,78.2233,5.5287,24.1614,9.9802,7.0399,7.4808
2021/7/30,0.0294,26.9837,93.9305,89.8349,1.6184,1.6731,4.5566,2.1299,7.3815
2021/7/31,0.0065,25.7248,96.3876,238.0174,0.0961,0.0677,1.4244,1.1144,9.037
2021/8/1,0.0361,27.6982,92.1387,114.0828,1.6497,2.1267,5.3479,4.9405,9.5824
