Time,capacity_factor,氣溫(℃),相對溼度(%),降水量(mm),日照時數(hour),日照率(%),全天空日射量(MJ/㎡),日最高紫外線指數(0~15),總雲量(0~10)
2021/6/1,0.1336,27.7616,85.4744,21.4727,6.569,20.3921,15.3745,9.9,7.4712
2021/6/2,0.2416,29.2982,78.8067,0.0,11.17,80.9108,28.0634,12.0034,3.3136
2021/6/3,0.2485,30.1061,73.9363,0.0,11.4074,80.8397,26.5213,13.0087,3.9458
2021/6/4,0.1902,29.6207,76.8707,1.6042,8.7528,53.069,23.0402,11.2839,6.8524
2021/6/5,0.0436,25.9946,92.5399,61.706,2.7572,3.1734,5.371,5.0474,9.2152
2021/6/6,0.0042,24.8382,93.918,252.3575,0.0203,0.0,0.7495,0.3168,9.7215
2021/6/7,0.1014,26.4331,84.6053,1.3411,5.719,7.0032,11.4836,6.3772,8.6329
2021/6/8,0.1729,28.3293,77.5985,0.0012,8.5716,39.9055,18.5697,8.5321,7.6074
2021/6/9,0.2153,27.932,80.6223,21.5565,9.96,63.1569,25.3877,11.7619,6.9407
2021/6/10,0.2259,29.1057,76.7663,0.0024,10.3758,72.2389,24.2485,10.5954,6.6966
2021/6/11,0.1659,29.3784,74.6003,0.0014,9.6976,66.3874,23.2428,10.7156,6.2135
2021/6/12,0.2125,28.8498,79.646,6.79,9.0661,60.0132,23.5629,11.9654,6.7444
2021/6/13,0.2378,29.6466,77.0583,0.0016,11.2428,73.6601,28.0641,12.2631,4.8626
2021/6/14,0.2481,29.7105,72.253,0.0,10.9628,76.4502,25.4009,12.1214,3.2464
2021/6/15,0.0932,28.3859,84.3984,24.6244,9.5764,56.8787,17.6291,11.5071,4.9307
2021/6/16,0.0423,27.1562,88.6742,39.6223,3.4395,14.7561,5.6606,3.8602,7.4568
2021/6/17,0.1022,27.8571,82.7813,6.1683,9.2592,57.7252,16.2532,11.6474,3.7145
2021/6/18,0.1563,28.0428,83.9821,12.7807,9.407,44.6048,15.9963,9.5959,5.4969
2021/6/19,0.0608,26.8624,90.7913,53.7633,4.1373,26.5937,7.5199,7.0148,7.794
2021/6/20,0.0315,26.3372,94.7465,96.9985,2.1632,4.0728,3.722,2.7597,9.1345
2021/6/21,0.0845,27.5404,89.1071,50.2228,4.6893,10.3921,10.7879,7.0028,9.0165
2021/6/22,0.0658,25.8164,92.7697,43.1809,3.3199,2.8101,9.2175,6.9029,9.9619
2021/6/23,0.0736,25.8319,90.6209,52.5238,3.9573,10.6539,10.3088,7.8217,9.3266
2021/6/24,0.1799,25.2395,91.6234,16.4149,7.5673,40.1976,21.4159,11.8014,7.1001
2021/6/25,0.1267,25.9333,89.6356,161.9726,6.4469,26.4167,16.8143,10.8145,8.5795
2021/6/26,0.134,26.8778,86.2008,24.7439,6.9408,28.3952,18.9897,10.1,7.3516
2021/6/27,0.0795,25.8008,93.7509,13.5149,4.5148,6.4122,9.7537,9.855,8.6177
2021/6/28,0.0407,25.2202,95.983,75.689,4.405,8.68,5.6598,4.4043,9.5593
