Time,capacity_factor,氣溫(℃),相對溼度(%),降水量(mm),日照時數(hour),日照率(%),全天空日射量(MJ/㎡),日最高紫外線指數(0~15),總雲量(0~10)
2021/6/1,0.1103,25.3545,86.0927,8.6728,7.1831,16.9653,14.2672,9.9,8.8459
2021/6/2,0.1387,26.4566,83.1098,11.7439,9.675,50.3898,21.7626,12.1142,7.0382
2021/6/3,0.1883,27.8145,77.3536,0.0041,10.67,68.5589,25.5362,12.8055,5.8269
2021/6/4,0.0584,26.0244,86.9993,94.1511,7.6058,26.1159,11.0911,9.8128,8.5486
2021/6/5,0.0372,23.7799,94.0735,20.0974,3.3746,1.117,4.3647,3.9645,9.9207
2021/6/6,0.0329,22.2103,95.2144,21.3661,2.3833,0.0,3.5993,2.0913,9.8481
2021/6/7,0.106,24.2767,89.5051,80.1021,6.8751,36.1757,15.207,10.9078,8.6202
2021/6/8,0.1858,26.1156,80.4435,1.7418,10.8612,59.8169,23.5835,10.4167,7.6074
2021/6/9,0.16,25.9173,82.562,30.9234,8.4444,41.1716,17.7822,11.7619,6.9407
2021/6/10,0.2032,27.1056,74.5865,1.8743,10.6496,68.5234,25.3274,12.0296,6.3221
2021/6/11,0.1718,27.5191,72.0323,0.1481,9.9551,66.2058,23.3843,12.4229,6.1611
2021/6/12,0.2129,27.6342,75.1683,6.3465,10.6573,67.9847,24.9125,12.0361,6.6517
2021/6/13,0.1815,27.4468,78.1083,0.2116,11.3588,61.1674,22.1436,12.5328,7.229
2021/6/14,0.2196,28.1098,73.7209,0.0,10.5398,63.8909,24.4351,12.1651,5.2472
2021/6/15,0.2195,28.2789,73.0942,0.0,10.0714,66.8122,24.0851,11.5806,5.6912
2021/6/16,0.2392,28.7913,67.1454,0.0001,11.8459,81.2729,29.1327,12.6657,4.1754
2021/6/17,0.2472,29.2359,68.0796,0.0,10.3619,69.2812,28.9581,12.2935,4.2964
2021/6/18,0.2346,29.3532,67.7872,0.0,10.6583,78.4434,27.6132,12.5394,5.1454
2021/6/19,0.2487,29.441,66.1796,0.001,11.5973,79.6414,28.5025,12.1016,4.7667
2021/6/20,0.2088,29.0359,68.0536,0.0037,11.3324,52.0305,23.3158,10.4025,6.823
2021/6/21,0.1764,28.4059,71.2036,0.0289,6.6833,25.1731,18.3949,8.8375,8.1275
2021/6/22,0.0822,25.7859,86.5128,13.727,3.9823,1.892,8.9198,4.5585,9.8354
2021/6/23,0.0732,23.8339,91.148,23.1677,4.7059,0.2644,6.5746,4.6149,9.9551
2021/6/24,0.0634,23.821,91.4362,26.6101,4.44,4.5884,6.5951,5.8803,9.6471
2021/6/25,0.076,24.7736,89.1914,4.2414,6.2019,9.1924,8.2941,7.2599,9.4508
2021/6/26,0.2285,26.8862,77.9158,0.0126,8.7691,55.762,23.0202,10.1,7.3156
2021/6/27,0.2402,28.289,69.4692,0.0259,10.0264,73.4743,26.4064,12.2335,6.5735
2021/6/28,0.1613,27.7676,69.555,0.2201,6.5343,23.5433,16.9947,10.5183,8.2939
2021/6/29,0.1723,28.216,68.9617,0.361,7.1024,25.9787,18.7356,8.8808,7.8467
2021/6/30,0.2362,28.2401,73.0291,0.0,10.3519,57.0656,26.6872,11.381,6.432
2021/7/1,0.2534,28.0878,72.7032,0.0,10.5426,66.1145,26.3761,12.9497,6.4203
2021/7/2,0.227,28.4118,74.9663,0.0,11.2393,73.0732,26.9577,12.1161,5.1381
2021/7/3,0.2426,28.5937,73.6275,0.6501,11.1891,74.4199,27.3289,12.7619,4.7242
2021/7/4,0.1143,27.8285,78.7747,0.5428,9.6789,47.7107,15.9993,11.4594,7.4402
2021/7/5,0.1606,28.4822,72.823,0.005,11.322,75.5284,24.6918,13.0682,3.6063
2021/7/6,0.1367,27.5209,82.0783,0.7205,8.5508,32.1533,17.2221,12.7143,8.2798
2021/7/7,0.1085,27.6826,81.3071,4.3755,9.6761,48.057,17.5999,12.4256,5.4173
2021/7/8,0.181,28.2864,76.5957,1.9552,10.5713,74.2587,24.9457,12.1996,3.4849
2021/7/9,0.2432,28.8646,70.7988,0.0,11.1637,83.144,28.8072,12.4393,2.2329
2021/7/10,0.1496,28.1273,78.9935,4.0618,10.214,58.527,21.6901,11.6363,6.2113
2021/7/11,0.1433,27.8173,78.5936,0.6297,9.7382,56.0235,17.7925,11.4901,6.3627
2021/7/12,0.1378,27.2651,83.1922,11.0408,9.3009,57.4264,20.9847,11.9377,6.7216
2021/7/13,0.1534,27.0062,81.9009,41.3485,9.7657,41.3981,19.0913,11.5714,5.6147
2021/7/14,0.1596,27.4319,76.6517,0.0147,10.3806,66.8129,18.5419,11.8571,3.9137
2021/7/15,0.1753,27.8935,75.0564,0.1353,10.8233,69.7316,21.1984,10.8377,4.0451
2021/7/16,0.1247,26.7818,82.5991,7.503,9.2973,49.8801,17.6007,11.0778,6.5914
2021/7/17,0.2019,27.7416,75.9228,0.0154,10.1616,68.9933,23.1576,11.2343,6.2207
2021/7/18,0.1749,27.8406,73.2805,0.0,9.8742,55.9477,16.5925,9.737,6.266
2021/7/19,0.2293,28.9818,68.2721,0.0288,8.9708,43.4867,24.5199,10.2671,7.1815
2021/7/20,0.2188,28.2538,71.112,0.0042,9.5029,40.9169,24.0871,10.8101,7.2278
2021/7/21,0.1565,26.3474,83.056,49.4604,10.2904,48.0009,20.7273,11.0,7.1177
2021/7/22,0.0955,25.4346,94.7444,144.0797,6.9779,16.9307,11.894,9.4286,9.115
2021/7/23,0.0984,25.6193,92.16,89.1052,6.6172,19.0887,11.6728,9.012,8.8788
2021/7/24,0.0691,25.3985,87.4861,96.8864,5.6311,9.8459,7.1248,5.428,9.0168
2021/7/25,0.2445,29.7327,66.8502,0.1401,11.0626,76.8724,27.7379,12.3909,6.3308
2021/7/26,0.2431,29.5487,71.3181,0.0637,10.6272,79.8222,28.1563,11.7022,3.6527
2021/7/27,0.217,29.6123,71.9029,0.1558,11.2216,76.1305,27.1067,11.7683,3.9211
2021/7/28,0.177,28.3621,78.9296,10.1245,10.7312,68.29,23.2139,10.602,4.1493
2021/7/29,0.1509,27.315,82.9126,19.6673,8.6265,59.9063,19.1111,10.5464,6.5284
2021/7/30,0.116,26.5039,85.9586,30.5152,8.0876,54.8517,17.229,11.6973,7.3815
2021/7/31,0.1338,26.1233,86.0238,12.0551,9.2683,19.7215,13.8367,8.9577,9.037
2021/8/1,0.0877,26.5078,86.9546,0.7467,9.7614,2.2289,10.2492,4.9619,9.2546
2021/8/2,0.1251,25.9965,87.7809,16.7308,9.0699,10.7575,12.2349,7.0474,9.068
2021/8/3,0.006,25.9358,88.8594,11.1454,6.8963,12.7827,11.6685,9.0622,9.1721
2021/8/4,0.1388,25.9498,88.0115,15.1711,7.0865,16.7264,13.5524,8.3333,8.981
2021/8/5,0.0972,25.7746,89.2367,4.9598,7.2469,9.0205,10.0198,5.6147,9.1593
