Time,capacity_factor,氣溫(℃),相對溼度(%),降水量(mm),日照時數(hour),日照率(%),全天空日射量(MJ/㎡),日最高紫外線指數(0~15),總雲量(0~10)
2021/6/1,0.1458,25.6051,90.7312,16.8193,6.5649,21.4881,15.9753,9.9,8.6616
2021/6/2,0.1599,27.3193,84.8051,2.1631,7.6517,45.6746,19.5134,11.1075,7.5175
2021/6/3,0.2188,28.979,76.8699,0.0566,8.7331,59.7943,24.0999,12.4888,7.1138
2021/6/4,0.0917,26.643,89.8031,53.9789,4.9805,24.7814,10.672,8.8615,9.3604
2021/6/5,0.0419,23.7742,96.1638,34.3218,2.4128,0.0367,3.479,2.2075,9.9395
2021/6/6,0.0362,21.9922,97.713,14.3806,1.0437,0.0,3.9748,3.0652,9.7597
2021/6/7,0.144,24.9847,92.0049,4.3534,6.1749,31.8139,16.269,9.9464,8.2004
2021/6/8,0.2258,27.3339,83.887,0.0171,9.5959,63.5084,22.9472,9.9849,7.6074
2021/6/9,0.1538,27.662,81.1901,4.3985,6.0728,36.661,16.7317,11.7619,6.9407
2021/6/10,0.2131,28.0673,77.3136,0.0149,10.0964,71.5776,23.5679,10.7416,6.5936
2021/6/11,0.2272,28.4241,73.4215,0.0003,9.4136,65.7522,20.631,12.024,6.1841
2021/6/12,0.214,28.5985,79.4085,3.9513,10.1198,72.5608,24.0119,11.0818,6.9176
2021/6/13,0.1838,28.6399,77.8923,0.0654,8.4155,49.4134,19.7151,11.4404,7.5549
2021/6/14,0.1918,29.4579,70.2425,0.0,9.7934,60.9046,23.7611,11.9874,5.7154
2021/6/15,0.2336,29.7106,70.7669,0.0,9.9405,68.4636,20.7733,11.528,5.4361
2021/6/16,0.2374,30.3836,64.405,0.0,10.8389,78.2484,25.404,11.7054,4.6157
2021/6/17,0.2412,30.3952,67.865,0.0,10.3058,72.7011,24.8767,11.6698,4.9255
2021/6/18,0.246,30.7235,66.2643,0.0,10.6491,80.4087,25.5872,12.4922,5.4006
2021/6/19,0.2436,30.9743,63.4448,0.0,11.2266,81.2798,25.9366,11.5762,4.9863
2021/6/20,0.2009,30.4874,66.679,0.0001,8.4024,50.1684,20.5817,10.5103,7.1735
2021/6/21,0.1548,29.4167,72.5903,0.0007,5.5468,22.1106,15.0312,8.0985,8.0067
2021/6/22,0.0595,25.9165,91.1853,68.6908,3.1639,0.5271,5.6314,3.0247,9.9333
2021/6/23,0.085,24.0147,94.4095,13.0157,3.4082,0.0,7.0488,3.8871,9.9344
2021/6/24,0.0825,24.9879,92.482,1.4764,3.0262,5.0021,8.2923,6.6331,9.8306
2021/6/25,0.069,25.4763,92.7605,2.7766,4.9571,4.2664,7.3043,6.0381,9.8646
2021/6/26,0.1957,27.9243,77.554,0.0005,8.1137,57.2167,22.0226,10.1,7.6848
2021/6/27,0.2394,29.7423,67.4113,0.0009,10.1592,78.0776,24.3647,11.1785,6.754
2021/6/28,0.1451,29.3531,66.2803,0.0035,5.5066,16.347,14.5468,8.9671,8.3805
2021/6/29,0.2182,29.6491,67.1814,0.0016,5.8215,22.2805,16.7937,7.8939,8.2566
2021/6/30,0.2079,29.2403,72.6438,0.0,9.215,56.8849,22.3543,11.381,6.9879
2021/7/1,0.2063,29.4129,70.3257,0.0,9.2391,62.6562,24.6992,12.8406,7.0989
2021/7/2,0.2313,29.6445,73.5094,0.0,10.4348,71.4316,24.996,10.667,5.7378
2021/7/3,0.2209,29.617,74.1586,0.0,9.3438,65.1798,23.424,12.7619,5.7869
2021/7/4,0.1421,28.858,79.0414,0.0,8.0123,36.1736,14.5412,9.561,7.355
2021/7/5,0.2047,29.5812,69.4123,0.0,9.9479,66.7417,21.9499,12.002,4.3481
