Time,capacity_factor,氣溫(℃),相對溼度(%),降水量(mm),日照時數(hour),日照率(%),全天空日射量(MJ/㎡),日最高紫外線指數(0~15),總雲量(0~10)
2017/1/1,0.1562,18.6971,74.242,0.0108,7.0613,68.0755,12.0271,5.86,2.4782
2017/1/2,0.1516,18.2033,82.0968,0.0005,7.8244,75.9463,12.7537,5.0827,2.1615
2017/1/3,0.1631,18.0105,76.2639,0.0045,8.7564,83.2753,12.4247,5.7489,0.9803
2017/1/4,0.0675,17.7519,78.0024,0.0008,2.4008,43.4037,10.0709,3.0167,6.1229
2017/1/5,0.1081,19.4011,82.0106,0.0022,5.2769,47.4753,10.3505,5.8069,5.9863
2017/1/6,0.0462,17.8172,88.995,0.0053,0.2799,2.1278,3.9515,3.0426,8.9017
2017/1/7,0.0601,18.8106,85.0681,0.0003,1.3373,9.2463,7.9539,4.0069,9.294
2017/1/8,0.1542,18.1318,85.9358,0.0088,6.9285,65.0417,11.2729,4.8784,5.5132
2017/1/9,0.1488,16.6015,73.1237,0.0051,4.3061,40.2431,9.7978,4.83,7.3348
2017/1/10,0.1519,15.5138,71.0904,0.0003,5.6671,53.6553,11.1187,3.9881,5.3289
2017/1/11,0.0824,16.1178,73.2247,0.0037,2.2719,20.1424,11.3921,4.2381,9.184
2017/1/12,0.0512,15.7338,80.5907,0.0169,0.3098,2.3704,5.3556,3.6537,9.8419
2017/1/13,0.0496,13.4979,83.1801,1.0787,0.1828,1.2483,4.4159,2.951,9.9512
2017/1/14,0.1134,12.6927,62.4824,0.4632,0.4005,3.4122,6.7385,3.944,9.4588
2017/1/15,0.0632,12.4178,63.4272,2.3644,0.5175,3.8796,5.284,4.6097,9.6873
2017/1/16,0.1597,13.8172,67.3352,0.0012,6.0638,56.9217,12.3484,4.8525,5.7919
2017/1/17,0.1221,14.7343,73.1084,0.0037,3.998,36.8201,10.7839,4.8049,7.4272
2017/1/18,0.0312,15.3242,85.1349,0.0083,0.6945,4.1715,4.5767,2.1943,9.8205
2017/1/19,0.0783,15.127,89.0261,0.0993,0.2496,2.034,5.6895,2.8511,9.6389
2017/1/20,0.056,13.0841,77.1585,0.0281,0.1816,1.6847,4.6821,3.0275,9.7945
2017/1/21,0.177,11.7234,61.5391,0.0035,6.4089,61.6339,11.8975,5.8403,3.1358
2017/1/22,0.1991,12.5316,57.3373,0.0056,8.8633,85.0542,13.8455,4.5961,1.6389
2017/1/23,0.1822,12.1108,59.3732,0.0069,6.4082,61.5901,12.836,3.7773,4.7679
2017/1/24,0.1559,12.712,62.46,0.0071,3.1137,33.862,10.6018,3.0127,6.7559
2017/1/25,0.1461,13.6203,68.0722,0.0028,4.8831,45.2291,11.5831,4.8049,4.5648
2017/1/26,0.2057,13.5242,65.2059,0.0041,9.2242,87.3903,13.6079,5.9227,0.4749
2017/1/27,0.2071,13.8497,67.1281,0.0,9.1961,73.6333,16.0284,5.9669,0.5622
2017/1/28,0.1446,15.423,72.1076,0.0,3.4156,30.6827,12.919,5.8925,6.5585
2017/1/29,0.07,16.6306,85.8376,0.0019,1.1948,5.2725,9.2142,3.4104,9.2761
2017/1/30,0.0252,14.8224,86.0362,0.467,0.2787,2.4209,4.3725,2.1299,9.6077
2017/1/31,0.1473,12.7122,69.4431,0.0165,1.6418,15.0396,9.0634,3.7619,8.6478
2017/2/1,0.1569,14.5047,75.0545,0.0287,0.6326,37.3523,9.6371,6.6212,5.9936
2017/2/2,0.2085,12.8988,70.2649,0.0209,5.2834,58.2328,12.3278,6.6053,3.745
2017/2/3,0.0601,14.3284,71.133,0.0,0.3399,1.0642,9.6264,3.9993,9.7189
2017/2/4,0.1515,16.1198,79.1769,0.0129,1.2534,42.3601,8.0038,4.4011,5.7188
2017/2/5,0.106,15.7206,86.9154,0.0124,1.7132,24.1613,8.8037,4.7821,8.4314
2017/2/6,0.205,14.7914,57.3427,0.008,8.51,81.2692,13.8636,5.6825,0.8548
2017/2/7,0.2127,13.9238,59.2704,0.0,6.5302,54.8072,12.7249,5.7132,2.5782
2017/2/8,0.101,14.6276,73.0612,0.0025,1.7194,15.4275,9.9044,3.982,8.2014
2017/2/9,0.2028,11.9957,60.4604,0.0173,7.1558,68.6504,12.0948,6.6004,1.8084
2017/2/10,0.1324,9.9031,55.3366,0.0059,1.9708,14.12,8.2469,4.5817,7.4641
2017/2/11,0.2097,10.7051,48.2726,0.0245,7.8612,80.8735,7.0047,4.0523,3.0215
2017/2/12,0.2146,11.1224,52.3584,0.0089,7.6064,72.1571,13.6707,4.8295,0.5934
2017/2/13,0.2262,12.7342,52.4121,0.0038,9.4559,85.2833,15.9553,6.8827,0.4158
2017/2/14,0.2238,13.8298,52.1872,0.0,9.5685,84.5078,16.5568,6.9546,0.7272
