Time,capacity_factor,dewpoint_temperature_2m(℃),temperature_2m(℃),relative_humidity(%),surface_solar_radiation_downwards_hourly(MJ/m2),surface_latent_heat_flux_hourly(MJ/m2),surface_net_solar_radiation_hourly(MJ/m2),surface_net_thermal_radiation_hourly(MJ/m2),surface_sensible_heat_flux_hourly(MJ/m2),total_precipitation_hourly(mm),potential_evaporation_hourly(mm),total_evaporation_hourly(mm),tcdc(0~100)
2021/6/1,0.1064,23.707259856603315,26.208727716317878,86.14580624556251,17.01939782155449,-9.000269037755189,14.803026161053786,-3.3825871968742405,-3.276668408502368,7.087887831343141,-5.468079016999615,-3.59897343412263,84.61598606497635
2021/6/2,0.1883,23.94715335058905,27.49089469314109,81.04952282023024,22.34563105979734,-10.16888022642959,19.414847355894203,-3.9142770895146457,-4.59596413136747,1.3595893811016329,-8.178931635046741,-4.06627179406529,76.03748165217796
2021/6/3,0.0858,23.08308982268511,28.17971008564664,73.91313910581792,25.980216033787386,-9.8634824122394,22.56233248069905,-5.382985306397071,-5.179673212974895,0.0177714703725356,-9.99464532621218,-3.9441537012206034,76.67731060218779
2021/6/4,0.1261,24.27030576548885,27.659198832809288,81.82596032915362,19.19098548623443,-7.613732283300189,16.67283569697527,-3.311258917268411,-3.986922613833949,10.22759986443256,-7.511350947575949,-3.044514470839281,54.87082045539685
2021/6/5,0.0411,23.814000275285625,25.30592675685097,91.4756413495008,10.490350254262593,-8.140674105245644,9.10214994239356,-1.9007111231737124,-1.473857186572892,19.63112601843111,-4.0881310080003885,-3.2552534028924143,72.20175517450328
2021/6/6,0.0235,23.41312129714255,24.29503737431489,94.86275214803676,5.586017312063465,-5.982645759923578,4.84781876475968,-1.540584524796433,-0.4666353802149698,72.61403983082258,-2.395055084984211,-2.392282783397921,63.54344024161196
2021/6/7,0.1406,23.08922273551422,25.318847634938336,87.50717745037683,13.9936002462562,-9.008948993092773,12.16393751650629,-3.2562319346894544,-1.8902763672275589,11.334723413878296,-4.706156247310222,-3.6024363628116483,59.75963362050361
2021/6/8,0.2172,23.98144806924379,26.551033520104653,85.82770921430368,23.1989395563516,-12.32863132421273,20.13516180687169,-4.143324407507832,-3.871141770368825,2.5048739755915808,-7.178518430585818,-4.92989918941012,85.80856485410757
2021/6/9,0.1642,24.188608469184004,26.93140943745584,84.9638427819357,21.387772239845216,-10.117424186096548,18.55355929250006,-4.284432426066768,-3.3807881645242057,0.8211768616441293,-6.558249073316542,-4.04568507552893,92.86985935605529
2021/6/10,0.0394,24.169842492475453,26.98335367549639,84.62169716062559,20.46737793775755,-10.03445911319711,17.76228995802304,-4.060169328684616,-3.09584059008629,1.2054112445087073,-6.197908884590092,-4.0125085119166926,78.75580139253411
2021/6/11,0.1819,24.509329032664493,26.98983953080432,86.3252878150299,23.14154985635961,-10.835967853412416,20.06199634282281,-4.0916319019286105,-4.23254496267794,2.249397423250773,-6.80273323043826,-4.333039610776409,58.05332695263849
2021/6/12,0.1885,24.57776383999565,26.959089828304336,86.84200415490146,23.200402732613984,-11.223989781739387,20.11812731128995,-4.2265119209822295,-3.8946257800263058,7.317792415960984,-6.671231692461085,-4.488120305615713,64.87958973331591
2021/6/13,0.1814,24.185067233354715,27.53353351174844,82.01394411864376,22.73404947862093,-11.56668147552413,19.70460580344692,-4.198286022390472,-3.0503849396211216,0.6066903603116394,-7.830278064445119,-4.62518598621155,72.7185796710738
2021/6/14,0.1789,22.32010261972581,28.210394477529327,70.44177993138233,21.382491450872088,-12.558354847581915,18.50764568313238,-4.38060996834848,-0.6136695707305222,0.032007665366455,-11.016619782994464,-5.021760518597216,72.02778157890981
2021/6/15,0.2089,22.22527321945953,28.02923976152851,70.7856305097342,24.507819594728836,-11.60246543229053,21.224729622226764,-4.422519968202746,-1.6340768374921062,0.0863776165785594,-12.200570777210585,-4.639520728855466,65.067373432988
2021/6/16,0.1967,21.034868020423524,28.366797548139047,64.54933378281486,23.47270457627898,-11.944725747975134,20.33989910416376,-4.405132464562361,-0.4657612701113933,0.0853121269940128,-14.391802484101166,-4.776332740587941,61.61942099316245
2021/6/17,0.2126,20.78284919113025,28.687919091483373,62.38317352743491,25.608117556698726,-12.671615289863922,22.18900580671253,-4.728793673055217,-1.1668549710405909,0.0196510167099176,-15.238702438458644,-5.067048285774206,54.9184877490552
2021/6/18,0.1829,21.112323738278693,29.04537959596257,62.343319722426656,25.700112049022213,-12.802724024136138,22.27377341031413,-4.633671560326025,-1.5177595848063552,0.0377093325449145,-15.572980124130869,-5.119452328052732,45.73401880765395
2021/6/19,0.2146,21.100578728700505,29.055823205841826,62.27009581238964,24.091724506867784,-12.150328942030304,20.88894458803492,-4.59129243041542,-1.425524506092974,0.0386649018126789,-15.584635636862473,-4.85857114585086,56.82972944618558
2021/6/20,0.1862,21.643869717101158,28.7754882602414,65.42797313548239,19.224328518119485,-10.019364194859351,16.68848445261655,-3.800941481840424,-1.000133618615355,0.2296814283328404,-13.02823340779592,-4.006457300063329,85.74433247490592
2021/6/21,0.0788,22.02593557334314,28.137911631270647,69.49587207811396,14.590003539780678,-8.715490258423793,12.654452034811,-3.185307995262324,-0.3597649191007299,0.938001477936988,-10.81242090402094,-3.4850499133963213,89.99800166005889
2021/6/22,0.077,22.22432421832445,25.848513174043628,80.45438777864837,6.417818071356524,-7.21069441619764,5.565904888750473,-1.7199021622051998,1.0746596982777392,22.274279257472323,-5.487408451897167,-2.8833877452436045,86.36169390306128
2021/6/23,0.0743,23.371238627088253,25.03216760201375,90.552511112377,3.817052298205497,-4.215302544115843,3.315255786829187,-1.4837209097730586,0.6189869989341474,32.0703522538931,-1.6949233599756752,-1.685561144681298,64.59635930925927
2021/6/24,0.0582,23.245519247739185,25.723324073347406,86.23776162434704,18.008403492823938,-11.272438155069974,15.6444015973079,-3.048922240390016,-3.0001603885662576,11.34457686033479,-5.960459660093864,-4.507542756909616,80.6421521046742
2021/6/25,0.0814,23.532869144933255,25.444370964084985,89.20692547136103,12.351993968533066,-11.373643018507575,10.722195285640804,-2.391838053750045,-2.229027013799087,3.299604331047877,-5.69031548673496,-4.547992956466532,88.16147859620148
2021/6/26,0.1673,21.64154584385324,26.97334548082416,72.6653962139297,16.871984345209043,-15.874142635014074,14.655381111863402,-3.247309388291833,-0.5556226533491602,0.438880413465628,-11.832354351480925,-6.347632623862305,87.76499658282034
2021/6/27,0.192,21.615727339887076,27.3867205211256,70.80786884625422,20.18069402121722,-13.3213980261941,17.528771301013364,-3.549598296004917,-0.543427107983864,0.3250690143908954,-12.321026536341725,-5.326844805648006,78.02205915636723
2021/6/28,0.1417,21.12994918413553,27.66446295870308,67.63111035577643,18.331593392151785,-10.99554951816751,15.924662898209943,-3.242166359225152,1.451958301890735,0.3058935864945596,-12.904841454663703,-4.396829144752063,81.57399345425871
2021/6/29,0.1376,20.96711428461704,27.820438317247024,66.3571579681967,19.221627926468315,-11.289930517379528,16.695038376283698,-3.4349401274772777,1.057021758446476,0.4150855735096134,-13.015569927210322,-4.514564328504131,97.07929488031348
2021/6/30,0.1972,20.276019467695185,28.573923348187563,60.87046301859228,22.4868435047215,-12.942807633296392,19.53609839206353,-4.28178959844036,0.8514228543556319,0.0142956666547093,-15.157148870361198,-5.175461577206535,83.91771448838048
2021/7/1,0.0692,19.64100069273277,28.346455154795574,59.31236215307472,20.242849673630715,-12.611136752321729,17.570877448372084,-4.717802607004955,1.4357905975113114,0.0050988207384958,-14.317713055404642,-5.042836681533865,77.84922500582546
2021/7/2,0.0705,21.999818652359536,28.231928126315424,69.00251392758182,25.74519334592555,-12.05156619217115,22.387573252109885,-4.994490542553188,-2.4985257029292534,0.0043114125130912,-12.255143993171508,-4.819070034852494,60.0635214419155
