Time,capacity_factor,dewpoint_temperature_2m(℃),temperature_2m(℃),relative_humidity(%),surface_solar_radiation_downwards_hourly(MJ/m2),surface_latent_heat_flux_hourly(MJ/m2),surface_net_solar_radiation_hourly(MJ/m2),surface_net_thermal_radiation_hourly(MJ/m2),surface_sensible_heat_flux_hourly(MJ/m2),total_precipitation_hourly(mm),potential_evaporation_hourly(mm),total_evaporation_hourly(mm),tcdc(0~100)
2018/12/1,0.1551,17.566423505105924,21.579693470488124,77.94794029103213,15.359249888112789,-5.836139347859253,12.953651109166945,-5.505294985997551,-2.0049229224540097,0.0718298757861908,-4.088173832611396,-2.3336870273483505,44.09713890703658
2018/12/2,0.1684,17.683835946601974,21.354880684497505,79.60180248585309,15.790901451712436,-5.836974071080001,13.315046433785517,-5.510954849992136,-2.1823470685445234,0.0129025253325984,-4.383534976131763,-2.334007476305767,48.0252056600149
2018/12/3,0.1744,17.078375957815457,22.120876546496376,73.14326903480868,15.75184624597008,-6.392910696242872,13.278182757419057,-5.3869785743819705,-1.3779341921921295,0.0050763539074778,-4.640211122358753,-2.556355735425296,28.421783681377267
2018/12/4,0.1709,17.628426601076754,23.220721587772225,70.86743594138738,14.907749709125364,-6.130600552758928,12.562644046366206,-4.864860649196933,-1.2212465633048444,0.0003307895167248,-4.753703370469815,-2.4514661046246653,70.92892782590785
2018/12/5,0.1499,19.544242235221034,24.11450331551289,75.65673667934831,10.390135255422962,-4.385333559761572,8.753742031783759,-2.953841346565667,-1.1527643013474842,0.2173800714343557,-3.632756577374714,-1.7535899371238202,92.89391073138594
2018/12/6,0.1366,19.666182566049446,23.74487547186749,77.93944534561695,13.0609342434877,-5.071822575063816,11.001147600731969,-4.084725347821639,-1.5228233820157726,0.0446292180289238,-4.175775728718417,-2.028094183613988,94.70776163968785
2018/12/7,0.1235,18.365709748667264,23.254452624691243,74.02490856602223,13.277344855403738,-5.270277652482292,11.179706341085366,-4.281395404716866,-1.7238515827062262,0.0387132044594034,-4.998967068851925,-2.1074506499759726,93.1598842617233
2018/12/8,0.1252,16.68462103720308,22.227017301239297,70.86452698232623,12.356369764331705,-5.505589623078656,10.402305209142906,-3.977809911621012,-1.4969671959127973,1.293015280851064,-5.167021922576325,-2.201535869350171,93.22260803345068
2018/12/9,0.156,17.044609426907527,21.909114238604776,73.91420248254764,14.244242093760048,-6.17380440865937,11.988775250975548,-4.44009600831648,-1.8169996136462505,0.7064483089895303,-5.175682758220461,-2.4686914390490413,95.3190563574771
2018/12/10,0.1601,17.662519577214162,22.183812464594286,75.57481139225415,13.693396810615557,-5.021081095994591,11.521899515207158,-4.474197013858022,-2.0590054008772656,0.0442659480003963,-4.642704201322324,-2.007818757302372,78.39375738490449
2018/12/11,0.1575,18.32445316014104,22.3226888601436,78.12338180457034,14.27491251734892,-4.897740010435928,12.007999009811028,-4.344323530739299,-2.759906370439769,0.0311247340363166,-5.207077328260507,-1.9584487278443212,59.52953253786304
2018/12/12,0.1173,15.357536693451252,20.6611403668672,71.69495035946542,10.720629000981846,-4.56984997619951,9.014431685217746,-2.9611378766653504,-2.368601344798831,0.7302554712665117,-5.228085495426399,-1.8273372937171777,89.05557658998997
2018/12/13,0.1374,15.164451787557889,20.02146796572581,73.64046358205125,9.319804980886296,-3.5856318804850247,7.835335010583811,-3.369774975981521,-1.6812850600590288,0.251367702307473,-3.944365896571014,-1.4337893552914558,93.81509121741291
