Time,capacity_factor,dewpoint_temperature_2m(℃),temperature_2m(℃),relative_humidity(%),surface_solar_radiation_downwards_hourly(MJ/m2),surface_latent_heat_flux_hourly(MJ/m2),surface_net_solar_radiation_hourly(MJ/m2),surface_net_thermal_radiation_hourly(MJ/m2),surface_sensible_heat_flux_hourly(MJ/m2),total_precipitation_hourly(mm),potential_evaporation_hourly(mm),total_evaporation_hourly(mm),tcdc(0~100)
2021/6/1,0.1103,22.804615000850475,24.95974219222016,87.857691255163,17.41957749959687,-8.763246442237072,14.625896560537171,-3.1890324419472287,-2.2654884021074224,14.138150498773026,-4.9792354449989205,-3.504156291539603,85.87605400888907
2021/6/2,0.1387,23.327314743640976,26.00857705474792,85.20434273802611,20.069533319923625,-10.431661005602086,16.847244364177488,-3.2126628918145217,-2.491329468365132,5.707803742387326,-6.710951782433034,-4.171332593306606,77.87346721863375
2021/6/3,0.1883,22.646391249443116,26.729542403779263,78.36203886361851,24.40536751549816,-11.880161875768213,20.48329601261776,-4.575881928971169,-3.1861998709406407,0.3805675466293111,-8.989543009580753,-4.750553384437676,79.36557854991972
2021/6/4,0.0584,23.435202066251254,26.02132323658057,85.71519000365245,15.40521957814602,-8.735275916109082,12.922039672441684,-2.7203780191999067,-1.2772470641866462,22.587111383230067,-5.2012647498948255,-3.493004821798801,59.376396683308805
2021/6/5,0.0372,23.186763863139976,24.10706402743264,94.61773786163226,9.712409843363751,-6.695619788788992,8.147533435786578,-1.4655851109355291,-0.8396423334852638,22.220868070301204,-3.059461648466101,-2.6774069484062544,68.88169295350653
2021/6/6,0.0329,22.49595858302297,23.073304303440292,96.5719064589189,4.498529579109699,-3.58289725815009,3.773511259929424,-1.2136653397380144,0.1301210330924966,65.42206305926138,-1.4330227806790816,-1.4326895845050025,56.75715652767991
2021/6/7,0.106,22.53774517826922,23.916698620618725,92.02814752449034,10.58691448107967,-6.444972143219781,8.865901785502958,-2.092836947262249,-0.3557600648601902,28.31396912657424,-2.941839443702396,-2.577172683564404,54.87095812516236
2021/6/8,0.1858,22.827535564068917,25.393751383375918,85.73396855101211,21.713499471558677,-11.528970194726766,18.188393856230284,-3.663406291524757,-2.165020353002628,6.660717468813569,-6.4924063849278255,-4.610116256602288,85.08861476798954
2021/6/9,0.16,21.794003428560323,25.742481195921695,78.86372384876623,21.77381062284293,-11.883441950607535,18.2328854871922,-4.184942747814842,-1.5594503083869429,1.0247806659696477,-7.760363867016114,-4.751860504076779,93.18909997225911
2021/6/10,0.2032,22.545509395409727,25.80986529680101,82.23052303505527,18.527025758691405,-9.97617271110197,15.507380380381507,-3.704288199730478,-1.402668632382456,3.609326257198545,-6.111993218668598,-3.989183379377765,79.88962387869799
2021/6/11,0.1718,23.597168412680418,26.29120796926103,85.15859299317677,23.186175293743997,-11.57220418697588,19.408297530411343,-3.908240249003757,-2.983142416891975,7.129283919020375,-7.155688187827938,-4.627408411891223,62.33703275427736
2021/6/12,0.2129,23.45485391311115,26.130835238424154,85.25093102353557,22.45522808744861,-11.869560161086335,18.78548499465561,-3.978211162019224,-2.3997020983569914,7.351010546017807,-7.098081796226918,-4.746278188029975,66.95767473782847
2021/6/13,0.1815,23.387807018248168,26.3060714286882,84.02814738637348,20.215149726873385,-10.852690009277351,16.90499467503134,-3.6881811233349664,-1.883962919801676,2.128061814346815,-6.873951266313576,-4.33967562007998,74.90612824348149
2021/6/14,0.2196,21.8225632704542,27.18005813526434,72.58037132614862,21.857313002166094,-13.483455343683495,18.279670580746497,-4.105010073406956,-0.0969835244677721,0.8390727197700116,-10.08297090080989,-5.391646403516265,74.40185607530505
2021/6/15,0.2195,21.32214625685128,27.43889333222959,69.33870218302751,26.072559856569416,-15.060501294957705,21.79547447145031,-4.709241331048029,-1.1853273055627964,0.0971660919860163,-12.470151048022997,-6.022263899377931,67.52014685170818
2021/6/16,0.2392,19.99847153753742,28.19033336229394,61.15895593401505,26.593722359516384,-16.55576102689506,22.230328004136084,-4.86188319891146,0.2507668851077742,0.0285326415083337,-16.333362238988787,-6.620186196433533,64.90367811246368
2021/6/17,0.2472,19.84392335734093,28.52498717089412,59.410532353271634,26.78617759018408,-16.44448092701598,22.393032144348137,-5.1373633738393245,0.1300460028203733,0.0265076601754805,-16.829272416019027,-6.575692935346024,57.892888640849854
